row_label_raw,row_label_full,Các bênliên quan,Môi quan hệ,Nội dungnghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),,,,
NNH Mizuki,Phải thu ngắn hạn khác (TM số 10) > NNH Mizuki,NNH Mizuki,Công tyliên doanh,Thu nhập cổ tức,51.989.041.096,-,,,51989041096.0,
Southgate,Phải thu ngắn hạn khác (TM số 10) > Southgate,Southgate,Công tyliên doanh,Phải thu khác,2.727.867.524,4.727.867.524,,,2727867524.0,4727867524.0
Các cá nhân,Phải thu ngắn hạn khác (TM số 10) > Các cá nhân,Các cá nhân,Cổ đông,Phải thu khác,-,364.000.000,,,,364000000.0
,,,,,54.716.908.620,5.091.867.524,,,54716908620.0,5091867524.0
