row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Công ty Cổ phần Chứng khoán Thành Phố Hồ Chí Minh > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh,Trái chủ > Công ty TNHH Manulife (Việt Nam) > TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Công ty TNHH Manulife (Việt Nam) > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam > Công ty Liên doanh Quản lý Quý Đầu tư chứng khoán Vietcombank > Kwe Beteiligungen AG > Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Arventus Limited > Bà Khuất Thu Huyền,Số tiền(VND) > 510.000.000.000 > 120.000.000.000 > 30.000.000.000 > 300.000.000.000 > 80.000.000.000 > 52.000.000.000 > 47.000.000.000 > 8.000.000.000 > 5.000.000.000 > 4.000.000.000,"Lãi suất (%/năm) > 6,5% +2,5% phí bảo lãnhCông ty phải trả choGuarantCo Management Company Limitedlà tổ chức bảo lãnhcho trái phiếu này > 10,5%",Ngàyđáo hạn > Ngày 19 tháng6 năm 2025 > Ngày 17 tháng6 năm 2023,Mục đích > Tài trợ và đầu tư cho các dự án,"Tài sản thếchấp > 80.824.459 cổ phiếuNam Long VCD do Công ty sở hữu > Quyền sử dụng đấttai xã An Thạnh,Huyện Bến Lức,Tỉnh Long An sở hữu bởiNam Long VCD(Thuyết minh số 11)",numeric__Trái chủ > Công ty TNHH Manulife (Việt Nam) > TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Công ty TNHH Manulife (Việt Nam) > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam > Công ty Liên doanh Quản lý Quý Đầu tư chứng khoán Vietcombank > Kwe Beteiligungen AG > Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Arventus Limited > Bà Khuất Thu Huyền,numeric__Số tiền(VND) > 510.000.000.000 > 120.000.000.000 > 30.000.000.000 > 300.000.000.000 > 80.000.000.000 > 52.000.000.000 > 47.000.000.000 > 8.000.000.000 > 5.000.000.000 > 4.000.000.000,"numeric__Lãi suất (%/năm) > 6,5% +2,5% phí bảo lãnhCông ty phải trả choGuarantCo Management Company Limitedlà tổ chức bảo lãnhcho trái phiếu này > 10,5%",numeric__Ngàyđáo hạn > Ngày 19 tháng6 năm 2025 > Ngày 17 tháng6 năm 2023,numeric__Mục đích > Tài trợ và đầu tư cho các dự án,"numeric__Tài sản thếchấp > 80.824.459 cổ phiếuNam Long VCD do Công ty sở hữu > Quyền sử dụng đấttai xã An Thạnh,Huyện Bến Lức,Tỉnh Long An sở hữu bởiNam Long VCD(Thuyết minh số 11)"
,,,,1.160.000.000.000,,,,,,1160000000000.0,,,,
Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,(34.976.326.417),,,,,,-34976326417.0,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,1.125.023.673.583,,,,,,1125023673583.0,,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,1.125.023.673.583,,,,,,1125023673583.0,,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,-,,,,,,,,,,
