row_label_raw,row_label_full,Các bênliên quan,Môi quan hệ,Nội dungnghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),,,,
Southgate,Phải thu ngắn hạn của khách hàng (TM số 7) > Southgate,Southgate,Công tyliên doanh,Dịch vụ tổng thầu,141.954.260.644,54.168.143.109,,,141954260644.0,54168143109.0
NNH Mizuki,Phải thu ngắn hạn của khách hàng (TM số 7) > NNH Mizuki,NNH Mizuki,Công tyliên doanh,Dịch vụ tổng thầu,73.949.967.796,81.122.382.397,,,73949967796.0,81122382397.0
Đồng NaiWaterfront,Phải thu ngắn hạn của khách hàng (TM số 7) > Đồng NaiWaterfront,Đồng NaiWaterfront,Công tyliên kết(từ ngày 30tháng 11năm 2020),Dịch vụ xây dựng,41.075.378.127,-,,,41075378127.0,
Các cá nhân,Phải thu ngắn hạn của khách hàng (TM số 7) > Các cá nhân,Các cá nhân,Cổ đông,Bán căn hộ,51.000.000,51.000.000,,,51000000.0,51000000.0
,,,,,257.030.606.567,135.341.525.506,,,257030606567.0,135341525506.0
Khách hàng trả tiền trước ngắn hạn (TM số 20),Khách hàng trả tiền trước ngắn hạn (TM số 20),Khách hàng trả tiền trước ngắn hạn (TM số 20),Khách hàng trả tiền trước ngắn hạn (TM số 20),Khách hàng trả tiền trước ngắn hạn (TM số 20),Khách hàng trả tiền trước ngắn hạn (TM số 20),Khách hàng trả tiền trước ngắn hạn (TM số 20),,,,
Southgate,Khách hàng trả tiền trước ngắn hạn (TM số 20) > Southgate,Southgate,Công tyliên doanh,Tạm ứng chodịch vụ tổng thầu,26.626.289.298,56.882.166.972,,,26626289298.0,56882166972.0
NNH Mizuki,Khách hàng trả tiền trước ngắn hạn (TM số 20) > NNH Mizuki,NNH Mizuki,Công tyliên doanh,Tạm ứng chodịch vụ tổng thầu,10.679.932.253,20.322.832.253,,,10679932253.0,20322832253.0
,,,,,37.306.221.551,77.204.999.225,,,37306221551.0,77204999225.0
