row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,59.864.739.978,21.068.896.786,17.189.050.855,8.982.210.231,1.590.878.288,108.695.776.138,59864739978.0,21068896786.0,17189050855.0,8982210231.0,1590878288.0,108695776138.0
Chuyển từ bất động sản đầu tư,Nguyên giá: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,3.514.877.313,-,-,-,-,3.514.877.313,3514877313.0,,,,,3514877313.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,2.303.644.182,4.008.917.221,287.818.182,146.068.909,6.746.448.494,,2303644182.0,4008917221.0,287818182.0,146068909.0,6746448494.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,63.379.617.291,23.372.540.968,21.197.968.076,9.270.028.413,1.736.947.197,118.957.101.945,63379617291.0,23372540968.0,21197968076.0,9270028413.0,1736947197.0,118957101945.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,4.554.146.286,8.130.560.632,5.851.567.940,2.352.614.308,1.292.036.145,22.180.925.311,4554146286.0,8130560632.0,5851567940.0,2352614308.0,1292036145.0,22180925311.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(23.439.800.657),(10.718.996.160),(9.776.863.098),(5.498.589.584),(1.196.520.919),(50.630.770.418),-23439800657.0,-10718996160.0,-9776863098.0,-5498589584.0,-1196520919.0,-50630770418.0
Chuyển từ bất động sản đầu tư,Giá trị khấu hao lũy kế: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,(1.631.164.563),-,-,-,-,(1.631.164.563),-1631164563.0,,,,,-1631164563.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.378.796.301),(2.161.772.568),(4.060.165.318),(219.066.139),(209.234.004),(9.029.034.330),-2378796301.0,-2161772568.0,-4060165318.0,-219066139.0,-209234004.0,-9029034330.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(27.449.761.521),(12.880.768.728),(13.837.028.416),(5.717.655.723),(1.405.754.923),(61.290.969.311),-27449761521.0,-12880768728.0,-13837028416.0,-5717655723.0,-1405754923.0,-61290969311.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,36.424.939.321,10.349.900.626,7.412.187.757,3.483.620.647,394.357.369,58.065.005.720,36424939321.0,10349900626.0,7412187757.0,3483620647.0,394357369.0,58065005720.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,35.929.855.770,10.491.772.240,7.360.939.660,3.552.372.690,331.192.274,57.666.132.634,35929855770.0,10491772240.0,7360939660.0,3552372690.0,331192274.0,57666132634.0
Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 24),Giá trị còn lại: > Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 24),Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 24),1.545.404.137,-,-,-,-,1.545.404.137,1545404137.0,,,,,1545404137.0
