row_label_raw,row_label_full,col_0,31/12/2023Triệu VND,%,31/12/2022Triệu VND,%_1,numeric__31/12/2023Triệu VND,numeric__%,numeric__31/12/2022Triệu VND,numeric__%_1
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,628.996,"0,24",403.512,"0,17",628996.0,0.24,403512.0,0.17
Công ty trách nhiệm hữu hạn một thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty trách nhiệm hữu hạn một thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty trách nhiệm hữu hạn một thành viên do nhà nước sở hữu 100% vốn điều lệ,2.226.272,"0,84",974.624,"0,42",2226272.0,0.84,974624.0,0.42
Công ty trách nhiệm hữu hạn hai thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối,Công ty trách nhiệm hữu hạn hai thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối,Công ty trách nhiệm hữu hạn hai thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền chi phối,166.921,"0,06",180.455,"0,08",166921.0,0.06,180455.0,0.08
Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,8.855.897,"3,32",6.186.566,"2,67",8855897.0,3.32,6186566.0,2.67
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,2.250.448,"0,84",2.174.298,"0,94",2250448.0,0.84,2174298.0,0.94
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,26.510.235,"9,95",13.424.235,"5,79",26510235.0,9.95,13424235.0,5.79
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,33,"0,00",14.799,"0,01",33.0,0.0,14799.0,0.01
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,905.449,"0,34",862.656,"0,37",905449.0,0.34,862656.0,0.37
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",224.800.919,"84,41",207.721.897,"89,55",224800919.0,84.41,207721897.0,89.55
Khác,Khác,Khác,375,"0,00",974,"0,00",375.0,0.0,974.0,0.0
,,,266.345.545,"100,00",231.944.016,"100,00",266345545.0,100.0,231944016.0,100.0
