row_label_raw,row_label_full,Vốn điều lệ,Thặng dưvốn cổ phần,Quỹ đầu tưphát triển,Quỹ dựphòngtài chínhTriệu VND,Quỹ dự trữbổ sung vốnđiều lệTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Tổng cộng,numeric__Thặng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ dựphòngtài chínhTriệu VND,numeric__Quỹ dự trữbổ sung vốnđiều lệTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Tổng cộng
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Quỹ dựphòngtài chínhTriệu VND,Quỹ dự trữbổ sung vốnđiều lệTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Triệu VND,,,,,,
21.076.730,Triệu VND > 21.076.730,21.076.730,1.540,10.556,2.179.309,327.688,9.055.219,32.651.042,1540.0,10556.0,2179309.0,327688.0,9055219.0,32651042.0
-,Triệu VND > -,-,-,-,-,-,8.563.053,8.563.053,,,,,8563053.0,8563053.0
-,Triệu VND > -,-,-,-,848.522,424.261,(1.272.783),-,,,848522.0,424261.0,-1272783.0,
-,Triệu VND > -,-,-,-,-,-,(110.717),(110.717),,,,,-110717.0,-110717.0
4.291.345,Triệu VND > 4.291.345,4.291.345,-,-,-,(319.928),(3.971.417),-,,,,-319928.0,-3971417.0,
-,Triệu VND > -,-,93,-,-,-,-,93,93.0,,,,,93.0
-,Triệu VND > -,-,-,-,-,-,(3.161.510),(3.161.510),,,,,-3161510.0,-3161510.0
-,Triệu VND > -,-,-,-,-,-,(2.374),(2.374),,,,,-2374.0,-2374.0
25.368.075,Triệu VND > 25.368.075,25.368.075,1.633,10.556,3.027.831,432.021,9.099.471,37.939.587,1633.0,10556.0,3027831.0,432021.0,9099471.0,37939587.0
15.531.430,Triệu VND > 15.531.430,15.531.430,1.480,10.556,1.537.516,238.679,6.971.079,24.290.740,1480.0,10556.0,1537516.0,238679.0,6971079.0,24290740.0
-,Triệu VND > -,-,-,-,-,-,8.468.767,8.468.767,,,,,8468767.0,8468767.0
-,Triệu VND > -,-,-,-,641.793,320.896,(962.689),-,,,641793.0,320896.0,-962689.0,
-,Triệu VND > -,-,-,-,-,-,(100.000),(100.000),,,,,-100000.0,-100000.0
5.545.300,Triệu VND > 5.545.300,5.545.300,-,-,-,(231.887),(5.313.413),-,,,,-231887.0,-5313413.0,
-,Triệu VND > -,-,60,-,-,-,-,60,60.0,,,,,60.0
-,Triệu VND > -,-,-,-,-,-,(8.525),(8.525),,,,,-8525.0,-8525.0
21.076.730,Triệu VND > 21.076.730,21.076.730,1.540,10.556,2.179.309,327.688,9.055.219,32.651.042,1540.0,10556.0,2179309.0,327688.0,9055219.0,32651042.0
