row_label_raw,row_label_full,Của khách hàng,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
Bắt động sản,Bắt động sản,Bắt động sản,375.298.028,345.855.396,375298028.0,345855396.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,83.813.423,96.151.269,83813423.0,96151269.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,20.441.178,20.471.054,20441178.0,20471054.0
Quyền khai thác tài sản,Quyền khai thác tài sản,Quyền khai thác tài sản,17.078.213,17.108.188,17078213.0,17108188.0
Bảo lãnh,Bảo lãnh,Bảo lãnh,24.194.584,16.051.432,24194584.0,16051432.0
"Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá",25.034.399,13.738.004,25034399.0,13738004.0
Hàng hóa lưu kho,Hàng hóa lưu kho,Hàng hóa lưu kho,14.776.809,13.918.966,14776809.0,13918966.0
Các tài sản bảo đảm khác,Các tài sản bảo đảm khác,Các tài sản bảo đảm khác,7.029.205,5.066.124,7029205.0,5066124.0
,,,567.665.839,528.360.433,567665839.0,528360433.0
Của các TCTD khác,Của các TCTD khác,Của các TCTD khác,31/12/2023Triệu VND,31/12/2022Triệu VND,,
Bảo lãnh,Của các TCTD khác > Bảo lãnh,Bảo lãnh,466.000,454.750,466000.0,454750.0
Quyền khai thác tài sản,Của các TCTD khác > Quyền khai thác tài sản,Quyền khai thác tài sản,26.403,-,26403.0,
,,,492.403,454.750,492403.0,454750.0
