row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,104.316,484.150,58.231,85.675,106.067,838.439,104316.0,484150.0,58231.0,85675.0,106067.0,838439.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.234,117.227,25.408,31.016,10.780,190.665,6234.0,117227.0,25408.0,31016.0,10780.0,190665.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.146),(17.769),(9.818),(1.406),(3.678),(35.817),-3146.0,-17769.0,-9818.0,-1406.0,-3678.0,-35817.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,107.404,583.608,73.821,115.285,113.169,993.287,107404.0,583608.0,73821.0,115285.0,113169.0,993287.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.929,304.575,45.376,44.403,89.111,536.394,52929.0,304575.0,45376.0,44403.0,89111.0,536394.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.723,45.879,5.452,18.723,7.677,84.454,6723.0,45879.0,5452.0,18723.0,7677.0,84454.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.005),(17.760),(9.817),(1.346),(3.398),(35.326),-3005.0,-17760.0,-9817.0,-1346.0,-3398.0,-35326.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,56.647,332.694,41.011,61.780,93.390,585.522,56647.0,332694.0,41011.0,61780.0,93390.0,585522.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,51.387,179.575,12.855,41.272,16.956,302.045,51387.0,179575.0,12855.0,41272.0,16956.0,302045.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,50.757,250.914,32.810,53.505,19.779,407.765,50757.0,250914.0,32810.0,53505.0,19779.0,407765.0
