row_label_raw,row_label_full,col_0,Phần mềm máy vi tínhTriệu VND,Tài sân cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sân cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,576.025,7.246,583.271,576025.0,7246.0,583271.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,50.053,-,50.053,50053.0,,50053.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,626.078,7.246,633.324,626078.0,7246.0,633324.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,273.937,7.221,281.158,273937.0,7221.0,281158.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,60.224,22,60.246,60224.0,22.0,60246.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,334.161,7.243,341.404,334161.0,7243.0,341404.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,302.088,25,302.113,302088.0,25.0,302113.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,291.917,3,291.920,291917.0,3.0,291920.0
