row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,8.514.957.930.000,663.218.256.719,77.388.963.577,(1.612.793.537),107.732.443.659,2.627.431.111.741,8.458.490.732.394,20.447.606.644.553,8514957930000.0,663218256719.0,77388963577.0,-1612793537.0,107732443659.0,2627431111741.0,8458490732394.0,20447606644553.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,368.916.322.614,1.162.840.478.484,1.531.756.801.098,,,,,,368916322614.0,1162840478484.0,1531756801098.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(425.747.896.500),(989.844.470.846),(1.415.592.367.346),,,,,,-425747896500.0,-989844470846.0,-1415592367346.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,,-,-,122.310.329.733,(122.310.329.733),-,-,,,,,122310329733.0,-122310329733.0,,
Thay đổi tỷ lệ sở hữu tại công ty con,Thay đổi tỷ lệ sở hữu tại công ty con,Thay đổi tỷ lệ sở hữu tại công ty con,-,-,-,-,-,148.144.266.655,224.260.533.345,372.404.800.000,,,,,,148144266655.0,224260533345.0,372404800000.0
Tăng vốn ở công ty con,Tăng vốn ở công ty con,Tăng vốn ở công ty con,-,-,-,-,-,-,104.900.000.000,104.900.000.000,,,,,,,104900000000.0,104900000000.0
Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,,,-,-,-,7.348.551.797,68.459.325.568,75.807.877.365,,,,,,7348551797.0,68459325568.0,75807877365.0
"Trích quỹ khen thưởng, phúc lợi và thủ lao Hội đồng quản trị","Trích quỹ khen thưởng, phúc lợi và thủ lao Hội đồng quản trị","Trích quỹ khen thưởng, phúc lợi và thủ lao Hội đồng quản trị",-,-,-,-,-,(56.340.725.242),(61.468.978.713),(117.809.703.955),,,,,,-56340725242.0,-61468978713.0,-117809703955.0
Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con Giảm khác,Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con Giảm khác,Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con Giảm khác,-,-,-,(444.438.080),-,-,3.302.255.279,2.857.817.199,,,,-444438080.0,,,3302255279.0,2857817199.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,8.514.957.930.000,663.218.256.719,77.388.963.577,(2.057.231.617),230.042.773.392,(1.214.807.831),(4.618.106.885),(5.832.914.716),8514957930000.0,663218256719.0,77388963577.0,-2057231617.0,230042773392.0,-1214807831.0,-4618106885.0,-5832914716.0
