row_label_raw,row_label_full,Đơn vị tư vấn phát hành/bảo lãnh,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1.150.000.000.000,1150000000000.0,1150000000000.0
Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX,600.000.000.000,800.000.000.000,600000000000.0,800000000000.0
Công ty Cổ phần Chứng khoán SSI (*),Công ty Cổ phần Chứng khoán SSI (*),Công ty Cổ phần Chứng khoán SSI (*),-,179.100.000.000,,179100000000.0
Ngân hàng TMCP Quân đội - Chi nhánh Đồng Nai (** ),Ngân hàng TMCP Quân đội - Chi nhánh Đồng Nai (** ),Ngân hàng TMCP Quân đội - Chi nhánh Đồng Nai (** ),-,400.000.000.000,,400000000000.0
Công ty TNHH Chứng khoán Shinhan Việt Nam (***),Công ty TNHH Chứng khoán Shinhan Việt Nam (***),Công ty TNHH Chứng khoán Shinhan Việt Nam (***),-,700.000.000.000,,700000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(20.896.904.989),(35.567.457.859),-20896904989.0,-35567457859.0
,,,1.729.103.095.011,3.193.532.542.141,1729103095011.0,3193532542141.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
- Trái phiếu dài hạn đến hạn trả,Trong đó > - Trái phiếu dài hạn đến hạn trả,- Trái phiếu dài hạn đến hạn trả,595.375.000.014,1.236.625.185.011,595375000014.0,1236625185011.0
- Trái phiếu dài hạn,Trong đó > - Trái phiếu dài hạn,- Trái phiếu dài hạn,1.133.728.094.997,1.956.907.357.130,1133728094997.0,1956907357130.0
