row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,266.504.310.031,23.688.267.419,290.192.577.450,266504310031.0,23688267419.0,290192577450.0
Thuê trong năm,NGUYÊN GIÁ > Thuê trong năm,Thuê trong năm,44.836.189.395,2.851.588.364,47.687.777.759,44836189395.0,2851588364.0,47687777759.0
Thuê tài sản cố định đã bán (như trình bàytại Thuyết minh số 12),NGUYÊN GIÁ > Thuê tài sản cố định đã bán (như trình bàytại Thuyết minh số 12),Thuê tài sản cố định đã bán (như trình bàytại Thuyết minh số 12),42.441.600.694,-,42.441.600.694,42441600694.0,,42441600694.0
Mua lại tài sản cố định thuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(28.166.936.583),(2.674.169.092),(30.841.105.675),-28166936583.0,-2674169092.0,-30841105675.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,325.615.163.537,23.865.686.691,349.480.850.228,325615163537.0,23865686691.0,349480850228.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,20.366.452.493,7.158.774.832,27.525.227.325,20366452493.0,7158774832.0,27525227325.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,30.702.498.768,3.765.797.878,34.468.296.646,30702498768.0,3765797878.0,34468296646.0
Mua lại tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,(19.726.630.178),(1.838.348.368),(21.564.978.546),-19726630178.0,-1838348368.0,-21564978546.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,31.342.321.083,9.086.224.342,40.428.545.425,31342321083.0,9086224342.0,40428545425.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,246.137.857.538,16.529.492.587,262.667.350.125,246137857538.0,16529492587.0,262667350125.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,294.272.842.454,14.779.462.349,309.052.304.803,294272842454.0,14779462349.0,309052304803.0
