row_label_raw,row_label_full,col_0,Số đầu năm,Góp vốn/Mua trong năm,"Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",Phân phối Quỹ và điều chỉnh khác,Cổ tức được chia trong năm,Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,Số cuối năm,numeric__Số đầu năm,numeric__Góp vốn/Mua trong năm,"numeric__Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",numeric__Phân phối Quỹ và điều chỉnh khác,numeric__Cổ tức được chia trong năm,numeric__Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,VND,,,,,,,
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,263.180.160.026,-,67.162.852.184,(921.251.670),(61.425.000.000),-,267.996.760.540,263180160026.0,,67162852184.0,-921251670.0,-61425000000.0,,267996760540.0
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,520.324.176.308,665.985.740.213,20.898.697.689,(2.005.907.493),(29.936.266.000),-,1.175.266.440.717,520324176308.0,665985740213.0,20898697689.0,-2005907493.0,-29936266000.0,,1175266440717.0
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,219.572.005.225,-,212.974.449,-,-,-,219.784.979.674,219572005225.0,,212974449.0,,,,219784979674.0
Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,449.986.412.463,44.742.361.262,22.545.834.705,-,(306.860.629.259),-,210.413.979.171,449986412463.0,44742361262.0,22545834705.0,,-306860629259.0,,210413979171.0
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,134.355.816.013,-,900.893.216,-,(544.989.937),3.135.934.153,137.847.653.445,134355816013.0,,900893216.0,,-544989937.0,3135934153.0,137847653445.0
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,60.684.194.275,-,(17.441.943.345),-,-,-,43.242.250.930,60684194275.0,,-17441943345.0,,,,43242250930.0
Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,18.605.103.063,-,(4.677.929.326),-,-,-,13.927.173.737,18605103063.0,,-4677929326.0,,,,13927173737.0
Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,6.433.209.968,-,(2.084.814.843),-,-,-,4.348.395.125,6433209968.0,,-2084814843.0,,,,4348395125.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,9.675.428.820,12.500.000.000,250.719.983,(60.322.955),(525.000.000),-,21.840.825.848,9675428820.0,12500000000.0,250719983.0,-60322955.0,-525000000.0,,21840825848.0
Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,1.935.635.368,-,(563.092.421),-,-,-,1.372.542.947,1935635368.0,,-563092421.0,,,,1372542947.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,909.380.000,-,-,-,-,-,909.380.000,909380000.0,,,,,,909380000.0
Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,226.185.000,-,-,-,-,-,226.185.000,226185000.0,,,,,,226185000.0
Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,-,445.156.705.096,(23.416.101.348),-,-,-,421.740.603.748,,445156705096.0,-23416101348.0,,,,421740603748.0
,,,1.685.887.706.529,1.168.384.806.571,63.788.090.943,(2.987.482.118),(399.291.885.196),3.135.934.153,2.518.917.170.882,1685887706529.0,1168384806571.0,63788090943.0,-2987482118.0,-399291885196.0,3135934153.0,2518917170882.0
