row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,Nợ PHẢI TRẢ,300,,33.853.117.241.346,31.341.456.664.406,,300.0,,33853117241346.0,31341456664406.0
I.,I.,I.,Nợ ngắn hạn,310,,18.590.964.345.781,17.276.008.893.499,,310.0,,18590964345781.0,17276008893499.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,19,2.197.004.693.731,3.315.649.076.267,,311.0,19.0,2197004693731.0,3315649076267.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,20,1.818.573.058.692,2.628.873.658.245,,312.0,20.0,1818573058692.0,2628873658245.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,21,509.002.851.994,318.094.773.688,,313.0,21.0,509002851994.0,318094773688.0
4.,4.,4.,Phải trả người lao động,314,,444.442.056.601,473.615.203.777,,314.0,,444442056601.0,473615203777.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,22,1.150.662.867.940,1.157.644.201.366,,315.0,22.0,1150662867940.0,1157644201366.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,23,50.924.082.677,47.773.828.643,,318.0,23.0,50924082677.0,47773828643.0
7.,7.,7.,Phải trả ngắn hạn khác,319,24,2.215.569.068.727,1.809.439.135.173,,319.0,24.0,2215569068727.0,1809439135173.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,25,9.858.351.291.848,7.195.915.446.358,,320.0,25.0,9858351291848.0,7195915446358.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,26,97.591.276.089,107.202.639.684,,321.0,26.0,97591276089.0,107202639684.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,248.843.097.482,221.800.930.298,,322.0,,248843097482.0,221800930298.0
II.,II.,II.,Nợ dài hạn,330,,15.262.152.895.565,14.065.447.770.907,,330.0,,15262152895565.0,14065447770907.0
1.,1.,1.,Phải trả người bán dài hạn,331,19,122.882.473.158,9.259.078.400,,331.0,19.0,122882473158.0,9259078400.0
2.,2.,2.,Chi phí phải trả dài hạn,333,22,338.801.485.090,188.387.114.899,,333.0,22.0,338801485090.0,188387114899.0
3.,3.,3.,Doanh thu chưa thực hiện dài hạn,336,23,3.099.941.844.662,2.757.226.116.656,,336.0,23.0,3099941844662.0,2757226116656.0
4.,4.,4.,Phải trả dài hạn khác,337,24,64.024.477.054,66.217.179.636,,337.0,24.0,64024477054.0,66217179636.0
5.,5.,5.,Vay và nợ thuê tài chính dài hạn,338,25,10.131.856.110.712,9.645.872.389.487,,338.0,25.0,10131856110712.0,9645872389487.0
6.,6.,6.,Thuế thu nhập hoãn lại phải trả,341,27,607.841.759.242,594.422.223.656,,341.0,27.0,607841759242.0,594422223656.0
7.,7.,7.,Dự phòng phải trả dài hạn,342,26,489.803.198.540,481.816.149.238,,342.0,26.0,489803198540.0,481816149238.0
8.,8.,8.,Quỹ phát triển khoa học và công nghệ,343,,407.001.547.107,322.247.518.935,,343.0,,407001547107.0,322247518935.0
