row_label_raw,row_label_full,Bên cho vay,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,3.418.192.016.718,2.801.176.702.342,3418192016718.0,2801176702342.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,2.205.011.594.909,971.574.194.339,2205011594909.0,971574194339.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,1.796.125.470.514,1.356.125.470.514,1796125470514.0,1356125470514.0
Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,1.442.694.001.431,1.541.612.000.238,1442694001431.0,1541612000238.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,538.111.477.127,539.719.692.826,538111477127.0,539719692826.0
Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,529.904.336.259,678.284.336.259,529904336259.0,678284336259.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),400.000.000.000,-,400000000000.0,
Ngân hàng TNHH một thành viên Woori Việt Nam,Ngân hàng TNHH một thành viên Woori Việt Nam,Ngân hàng TNHH một thành viên Woori Việt Nam,200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),185.180.493.380,288.220.010.721,185180493380.0,288220010721.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,173.241.754.183,155.144.760.216,173241754183.0,155144760216.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,159.030.427.168,223.157.855.478,159030427168.0,223157855478.0
Công ty Cho thuê Tài chính TNHH MTV Ngân hàng TMCP Công Thương Việt Nam,Công ty Cho thuê Tài chính TNHH MTV Ngân hàng TMCP Công Thương Việt Nam,Công ty Cho thuê Tài chính TNHH MTV Ngân hàng TMCP Công Thương Việt Nam,132.836.750.841,146.054.098.715,132836750841.0,146054098715.0
Ngân hàng Hong Leong Việt Nam,Ngân hàng Hong Leong Việt Nam,Ngân hàng Hong Leong Việt Nam,46.236.684.695,-,46236684695.0,
Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,8.074.692.380,,8074692380.0,
Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,7.469.389.445,-,7469389445.0,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,6.382.412.398,9.237.867.294,6382412398.0,9237867294.0
Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,5.388.043.496,7.980.820.606,5388043496.0,7980820606.0
Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,1.452.072.219,74.083.340,1452072219.0,74083340.0
Công ty Cho thuê Tài chính TNHH BIDV -SuMi TRUST,Công ty Cho thuê Tài chính TNHH BIDV -SuMi TRUST,Công ty Cho thuê Tài chính TNHH BIDV -SuMi TRUST,1.216.266.576,2.184.816.330,1216266576.0,2184816330.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,881.145.000,1.718.820.000,881145000.0,1718820000.0
Ngân Hàng TMCP Quân đội,Ngân Hàng TMCP Quân đội,Ngân Hàng TMCP Quân đội,-,3.979.849.293,,3979849293.0
Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,61.652.343.034,165.923.706.024,61652343034.0,165923706024.0
,,,11.319.081.371.773,9.092.169.084.535,11319081371773.0,9092169084535.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
- Vay dài hạn đến hạn trả,Trong đó > - Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,2.320.953.356.058,1.403.204.052.178,2320953356058.0,1403204052178.0
- Vay dài hạn,Trong đó > - Vay dài hạn,- Vay dài hạn,8.998.128.015.715,7.688.965.032.357,8998128015715.0,7688965032357.0
