row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm VND > 2.543.456.650.972 > 1.577.647.910.981 > 1.133.480.318.028,Số đầu năm VND > 1.471.179.863.993 > 991.887.754.932 > 884.212.531.855,numeric__Số cuối năm VND > 2.543.456.650.972 > 1.577.647.910.981 > 1.133.480.318.028,numeric__Số đầu năm VND > 1.471.179.863.993 > 991.887.754.932 > 884.212.531.855
Ngân Hàng TMCP Quân đội,Ngân Hàng TMCP Quân đội,Ngân Hàng TMCP Quân đội,402.318.440.621,99.154.842.587,402318440621.0,99154842587.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),320.355.661.312,350.025.399.845,320355661312.0,350025399845.0
Ngân hàng TMCP Quốc tế,Ngân hàng TMCP Quốc tế,Ngân hàng TMCP Quốc tế,168.181.803.970,2.037.164.809,168181803970.0,2037164809.0
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),147.226.960.177,-,147226960177.0,
Ngân hàng Đại chúng TNHH KASIKORNBANK,Ngân hàng Đại chúng TNHH KASIKORNBANK,Ngân hàng Đại chúng TNHH KASIKORNBANK,135.756.035.441,-,135756035441.0,
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,120.582.568.941,124.471.309.612,120582568941.0,124471309612.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,116.659.681.205,115.471.106.921,116659681205.0,115471106921.0
Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,55.643.532.390,50.000.000.000,55643532390.0,50000000000.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,50.000.000.000,-,50000000000.0,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,49.309.212.488,8.482.720.293,49309212488.0,8482720293.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,32.322.335.062,-,32322335062.0,
Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,23.959.795.008,84.381.808.579,23959795008.0,84381808579.0
Ngân hàng Malayan Banking Berhad,Ngân hàng Malayan Banking Berhad,Ngân hàng Malayan Banking Berhad,19.384.533.808,230.316.908.476,19384533808.0,230316908476.0
Ngân hàng TNHH CTBC,Ngân hàng TNHH CTBC,Ngân hàng TNHH CTBC,9.414.165.565,2.362.192.686,9414165565.0,2362192686.0
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,1.531.924.446,2.231.924.446,1531924446.0,2231924446.0
Ngân hàng Bangkok Bank,Ngân hàng Bangkok Bank,Ngân hàng Bangkok Bank,-,65.000.000.000,,65000000000.0
Ngân hàng Hong Leong Việt Nam,Ngân hàng Hong Leong Việt Nam,Ngân hàng Hong Leong Việt Nam,-,47.381.080.172,,47381080172.0
,,,6.907.231.530.415,4.528.596.609.206,6907231530415.0,4528596609206.0
