row_label_raw,row_label_full,Công ty,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,6 công ty,7 công ty,,
Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh bị lỗ,6 công ty,5 công ty,,
Đang trong giai đoạn đầu tư,Đang trong giai đoạn đầu tư,Đang trong giai đoạn đầu tư,1 công ty (*),0 công ty,,
