row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mặt nước,"Chi phí đền bù, chuẩn bị mặt bằng",Giá trị thương hiệu và bản quyền,Phần mềm máy tính,Giấy phép và giấy nhượng quyền,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mặt nước,"numeric__Chi phí đền bù, chuẩn bị mặt bằng",numeric__Giá trị thương hiệu và bản quyền,numeric__Phần mềm máy tính,numeric__Giấy phép và giấy nhượng quyền,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,186.628.455.708,384.184.174.786,93.259.704.164,5.071.016.121,90.021.954.010,42.496.413.266,8.674.997.834,810.336.715.889,186628455708.0,384184174786.0,93259704164.0,5071016121.0,90021954010.0,42496413266.0,8674997834.0,810336715889.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,-,-,4.977.837.708,-,64.200.000,5.042.037.708,,,,,4977837708.0,,64200000.0,5042037708.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,-,-,(1.032.460.000),-,-,(1.032.460.000),,,,,-1032460000.0,,,-1032460000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,186.628.455.708,384.184.174.786,93.259.704.164,5.071.016.121,93.967.331.718,42.496.413.266,8.739.197.834,814.346.293.597,186628455708.0,384184174786.0,93259704164.0,5071016121.0,93967331718.0,42496413266.0,8739197834.0,814346293597.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,25.781.804.926,51.287.582.852,20.556.479.655,864.778.570,43.968.694.829,5.933.487.794,1.445.832.960,149.838.661.586,25781804926.0,51287582852.0,20556479655.0,864778570.0,43968694829.0,5933487794.0,1445832960.0,149838661586.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,6.470.202.442,10.753.848.017,2.186.773.804,459.624.099,15.850.783.105,2.178.966.361,528.315.130,38.428.512.958,6470202442.0,10753848017.0,2186773804.0,459624099.0,15850783105.0,2178966361.0,528315130.0,38428512958.0
Giảm trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,-,-,(1.032.460.000),-,-,(1.032.460.000),,,,,-1032460000.0,,,-1032460000.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,32.252.007.368,62.041.430.869,22.743.253.459,1.324.402.669,58.787.017.934,8.112.454.155,1.974.148.090,187.234.714.544,32252007368.0,62041430869.0,22743253459.0,1324402669.0,58787017934.0,8112454155.0,1974148090.0,187234714544.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,160.846.650.782,332.896.591.934,72.703.224.509,4.206.237.551,46.053.259.181,36.562.925.472,7.229.164.874,660.498.054.303,160846650782.0,332896591934.0,72703224509.0,4206237551.0,46053259181.0,36562925472.0,7229164874.0,660498054303.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,154.376.448.340,322.142.743.917,70.516.450.705,3.746.613.452,35.180.313.784,34.383.959.111,6.765.049.744,627.111.579.053,154376448340.0,322142743917.0,70516450705.0,3746613452.0,35180313784.0,34383959111.0,6765049744.0,627111579053.0
