row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,30,30.296.407.854.092,32.262.726.561.846,,1.0,30.0,30296407854092.0,32262726561846.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,30,298.572.005.135,173.974.039.862,,2.0,30.0,298572005135.0,173974039862.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,30,29.997.835.848.957,32.088.752.521.984,,10.0,30.0,29997835848957.0,32088752521984.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,31,24.489.090.822.910,25.630.732.313.414,,11.0,31.0,24489090822910.0,25630732313414.0
5.,5.,5.,Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,5.508.745.026.047,6.458.020.208.570,,20.0,,5508745026047.0,6458020208570.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,33,449.714.920.814,731.205.570.695,,21.0,33.0,449714920814.0,731205570695.0
7.,7.,7.,Chi phí tài chính,22,34,1.888.935.606.662,2.266.078.299.811,,22.0,34.0,1888935606662.0,2266078299811.0
,,,- Trong đó: Chi phí lãi vay,23,,1.378.991.490.271,1.363.217.088.136,,23.0,,1378991490271.0,1363217088136.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,17,60.800.608.825,36.049.597.677,,24.0,17.0,60800608825.0,36049597677.0
9.,9.,9.,Chi phí bán hàng,25,35,1.140.667.296.329,1.289.959.042.165,,25.0,35.0,1140667296329.0,1289959042165.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,35,1.574.517.688.723,1.668.152.641.326,,26.0,35.0,1574517688723.0,1668152641326.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,1.415.139.963.972,2.001.085.393.640,,30.0,,1415139963972.0,2001085393640.0
12.,12.,12.,Thu nhập khác,31,36,84.101.655.339,135.937.769.623,,31.0,36.0,84101655339.0,135937769623.0
13.,13.,13.,Chi phí khác,32,37,102.258.632.408,56.470.451.333,,32.0,37.0,102258632408.0,56470451333.0
14.,14.,14.,(Lỗ)/lợi nhuận khác (40=31-32),40,,(18.156.977.069),79.467.318.290,,40.0,,-18156977069.0,79467318290.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.396.982.986.903,2.080.552.711.930,,50.0,,1396982986903.0,2080552711930.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,38,616.994.350.665,540.489.377.473,,51.0,38.0,616994350665.0,540489377473.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,38,(83.895.610.154),8.306.533.359,,52.0,38.0,-83895610154.0,8306533359.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,863.884.246.392,1.531.756.801.098,,60.0,,863884246392.0,1531756801098.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,330.357.294.753,368.916.322.614,,61.0,,330357294753.0,368916322614.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,533.526.951.639,1.162.840.478.484,,62.0,,533526951639.0,1162840478484.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,39,388,373,,70.0,39.0,388.0,373.0
