row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.837.886.976.949,15.513.004.865.168,663.117.352.070,72.649.295.044,186.286.686.415,26.272.945.175.646,9837886976949.0,15513004865168.0,663117352070.0,72649295044.0,186286686415.0,26272945175646.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,2.666.138.386.758,645.481.111.095,65.586.563.446,3.055.963.710,1.055.000.000,3.381.317.025.009,2666138386758.0,645481111095.0,65586563446.0,3055963710.0,1055000000.0,3381317025009.0
Mua lại tài sản cố định thuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,28.183.936.583,2.677.169.092,-,-,30.861.105.675,,28183936583.0,2677169092.0,,,30861105675.0
Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 13),NGUYÊN GIÁ > Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 13),Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 13),-,(166.297.929.657),-,-,-,(166.297.929.657),,-166297929657.0,,,,-166297929657.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.980.493.987),(63.196.433.173),(17.821.401.225),(594.104.399),-,(84.592.432.784),-2980493987.0,-63196433173.0,-17821401225.0,-594104399.0,,-84592432784.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,113.887.193.608,58.109.261.900,5.066.508.192,(212.412.175),(176.883.761.525),(33.210.000),113887193608.0,58109261900.0,5066508192.0,-212412175.0,-176883761525.0,-33210000.0
"Tăng, giảm khác","NGUYÊN GIÁ > Tăng, giảm khác","Tăng, giảm khác",491.185.375,9.970.376.551,2.018.230.033,(259.949.999),937.888,12.220.779.848,491185375.0,9970376551.0,2018230033.0,-259949999.0,937888.0,12220779848.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,12.615.423.248.703,16.025.255.188.467,720.644.421.608,74.638.792.181,10.458.862.778,29.446.420.513.737,12615423248703.0,16025255188467.0,720644421608.0,74638792181.0,10458862778.0,29446420513737.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
