row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,20.299.049.443.139,19.800.289.125.653,,100.0,,20299049443139.0,19800289125653.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,3.312.661.845.659,3.156.250.619.707,,110.0,4.0,3312661845659.0,3156250619707.0
1.,1.,1.,Tiền,111,,2.303.490.142.826,1.928.295.436.172,,111.0,,2303490142826.0,1928295436172.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.009.171.702.833,1.227.955.183.535,,112.0,,1009171702833.0,1227955183535.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,4.123.368.893.945,2.520.704.273.989,,120.0,,4123368893945.0,2520704273989.0
1.,1.,1.,Chứng khoán kinh doanh,121,5,3.385.232.291.770,2.171.365.550.185,,121.0,5.0,3385232291770.0,2171365550185.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,5,(31.239.176.854),(2.525.400.000),,122.0,5.0,-31239176854.0,-2525400000.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,769.375.779.029,351.864.123.804,,123.0,5.0,769375779029.0,351864123804.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.464.393.904.174,4.184.462.443.098,,130.0,,3464393904174.0,4184462443098.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,2.705.919.886.143,2.745.412.846.750,,131.0,6.0,2705919886143.0,2745412846750.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,562.251.214.294,1.147.704.122.949,,132.0,,562251214294.0,1147704122949.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,,4.500.000.000,14.800.000.000,,135.0,,4500000000.0,14800000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,7,725.498.326.330,836.624.433.161,,136.0,7.0,725498326330.0,836624433161.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(533.775.522.593),(560.078.959.762),,137.0,8.0,-533775522593.0,-560078959762.0
IV.,IV.,IV.,Hàng tồn kho,140,9,8.323.628.312.640,9.110.749.017.578,,140.0,9.0,8323628312640.0,9110749017578.0
1.,1.,1.,Hàng tồn kho,141,,8.588.299.316.606,9.281.313.978.372,,141.0,,8588299316606.0,9281313978372.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(264.671.003.966),(170.564.960.794),,149.0,,-264671003966.0,-170564960794.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,1.074.996.486.721,828.122.771.281,,150.0,,1074996486721.0,828122771281.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,73.782.935.104,87.192.524.594,,151.0,10.0,73782935104.0,87192524594.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,905.106.094.185,698.795.564.929,,152.0,,905106094185.0,698795564929.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,21,96.107.457.432,42.134.681.758,,153.0,21.0,96107457432.0,42134681758.0
