row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,a. Phải trả người bán ngắn hạn,,,,
Phải trả người bán sản xuất kinh doanh thiết bị điện,a. Phải trả người bán ngắn hạn > Phải trả người bán sản xuất kinh doanh thiết bị điện,Phải trả người bán sản xuất kinh doanh thiết bị điện,549.086.293.114,549.086.293.114,1.277.539.646.413,1.277.539.646.413,549086293114.0,549086293114.0,1277539646413.0,1277539646413.0
"- Y and W Engineering and Trading Co., Ltd","a. Phải trả người bán ngắn hạn > - Y and W Engineering and Trading Co., Ltd","- Y and W Engineering and Trading Co., Ltd",85.953.590.450,85.953.590.450,145.362.654.613,145.362.654.613,85953590450.0,85953590450.0,145362654613.0,145362654613.0
- Samsung C&T Singapore PTE. LTD,a. Phải trả người bán ngắn hạn > - Samsung C&T Singapore PTE. LTD,- Samsung C&T Singapore PTE. LTD,-,-,321.997.425.551,321.997.425.551,,,321997425551.0,321997425551.0
- Toyota Tsusho Asia Pacific PTE. LTD.,a. Phải trả người bán ngắn hạn > - Toyota Tsusho Asia Pacific PTE. LTD.,- Toyota Tsusho Asia Pacific PTE. LTD.,-,-,135.644.531.790,135.644.531.790,,,135644531790.0,135644531790.0
- Phải trả các người bán khác,a. Phải trả người bán ngắn hạn > - Phải trả các người bán khác,- Phải trả các người bán khác,463.132.702.664,463.132.702.664,674.535.034.459,674.535.034.459,463132702664.0,463132702664.0,674535034459.0,674535034459.0
Phải trả người bán liên quan sản xuất và kinh doanh vật liệu xây dựng,a. Phải trả người bán ngắn hạn > Phải trả người bán liên quan sản xuất và kinh doanh vật liệu xây dựng,Phải trả người bán liên quan sản xuất và kinh doanh vật liệu xây dựng,922.331.689.145,922.331.689.145,972.055.835.920,972.055.835.920,922331689145.0,922331689145.0,972055835920.0,972055835920.0
"Phải trả người bán liên quan bán, cho thuê bất động sản, hạ tầng khu công nghiệp","a. Phải trả người bán ngắn hạn > Phải trả người bán liên quan bán, cho thuê bất động sản, hạ tầng khu công nghiệp","Phải trả người bán liên quan bán, cho thuê bất động sản, hạ tầng khu công nghiệp",633.248.122.031,633.248.122.031,587.783.110.541,587.783.110.541,633248122031.0,633248122031.0,587783110541.0,587783110541.0
"Phải trả người bán sản xuất, kinh doanh năng lượng và nước sạch","a. Phải trả người bán ngắn hạn > Phải trả người bán sản xuất, kinh doanh năng lượng và nước sạch","Phải trả người bán sản xuất, kinh doanh năng lượng và nước sạch",39.478.825.544,39.478.825.544,386.053.866.638,386.053.866.638,39478825544.0,39478825544.0,386053866638.0,386053866638.0
- Công ty Cổ phần Chế tạo bơm Hải Dương,a. Phải trả người bán ngắn hạn > - Công ty Cổ phần Chế tạo bơm Hải Dương,- Công ty Cổ phần Chế tạo bơm Hải Dương,97.976.100,97.976.100,258.652.337.728,258.652.337.728,97976100.0,97976100.0,258652337728.0,258652337728.0
