row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,34.777.826.201.312,32.584.545.398.482,,200.0,,34777826201312.0,32584545398482.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,799.021.803.106,335.175.420.670,,210.0,,799021803106.0,335175420670.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,7.167.539.911,-,,211.0,,7167539911.0,
2.,2.,2.,Phải thu về cho vay dài hạn,215,11,521.517.021.335,15.000.000.000,,215.0,11.0,521517021335.0,15000000000.0
3.,3.,3.,Phải thu dài hạn khác,216,7,270.337.241.860,320.175.420.670,,216.0,7.0,270337241860.0,320175420670.0
II.,II.,II.,Tài sản cố định,220,,18.799.448.182.048,16.954.106.471.212,,220.0,,18799448182048.0,16954106471212.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,17.863.284.298.192,16.030.941.066.784,,221.0,12.0,17863284298192.0,16030941066784.0
,,,- Nguyên giá,222,,29.446.420.513.737,26.272.945.175.646,,222.0,,29446420513737.0,26272945175646.0
,,,- Giá trị hao mòn lũy kế,223,,(11.583.136.215.545),(10.242.004.108.862),,223.0,,-11583136215545.0,-10242004108862.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,13,309.052.304.803,262.667.350.125,,224.0,13.0,309052304803.0,262667350125.0
,,,- Nguyên giá,225,,349.480.850.228,290.192.577.450,,225.0,,349480850228.0,290192577450.0
,,,- Giá trị hao mòn lũy kế,226,,(40.428.545.425),(27.525.227.325),,226.0,,-40428545425.0,-27525227325.0
3.,3.,3.,Tài sản cố định vô hình,227,14,627.111.579.053,660.498.054.303,,227.0,14.0,627111579053.0,660498054303.0
,,,- Nguyên giá,228,,814.346.293.597,810.336.715.889,,228.0,,814346293597.0,810336715889.0
,,,- Giá trị hao mòn lũy kế,229,,(187.234.714.544),(149.838.661.586),,229.0,,-187234714544.0,-149838661586.0
III.,III.,III.,Bắt động sản đầu tư,230,15,2.584.963.507.600,2.626.694.521.493,,230.0,15.0,2584963507600.0,2626694521493.0
,,,- Nguyên giá,231,,12.764.233.514.667,10.416.616.475.325,,231.0,,12764233514667.0,10416616475325.0
,,,- Giá trị hao mòn lũy kế,232,,(10.179.270.007.067),(7.789.921.953.832),,232.0,,-10179270007067.0,-7789921953832.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,7.325.894.924.491,8.071.979.767.925,,240.0,,7325894924491.0,8071979767925.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,16,7.325.894.924.491,8.071.979.767.925,,242.0,16.0,7325894924491.0,8071979767925.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,2.658.132.470.084,1.818.203.005.731,,250.0,,2658132470084.0,1818203005731.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,17,2.518.917.170.882,1.685.887.706.529,,252.0,17.0,2518917170882.0,1685887706529.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,17,138.677.689.404,133.427.689.404,,253.0,17.0,138677689404.0,133427689404.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,17,(1.214.690.202),(1.214.690.202),,254.0,17.0,-1214690202.0,-1214690202.0
4.,4.,4.,Đầu tư nằm giữ đến ngày đáo hạn,255,,1.752.300.000,102.300.000,,255.0,,1752300000.0,102300000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,2.610.365.313.983,2.778.386.211.451,,260.0,,2610365313983.0,2778386211451.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,1.211.027.592.631,1.268.062.516.354,,261.0,10.0,1211027592631.0,1268062516354.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,27,128.285.747.599,30.994.667.211,,262.0,27.0,128285747599.0,30994667211.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,5.311.994.605,5.822.205.154,,263.0,,5311994605.0,5822205154.0
4.,4.,4.,Lợi thế thương mại,269,18,1.265.739.979.148,1.473.506.822.732,,269.0,18.0,1265739979148.0,1473506822732.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,55.076.875.644.451,52.384.834.524.135,,270.0,,55076875644451.0,52384834524135.0
