row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thiết bị điện,"Sản xuất, kinh doanh năng lượng và nước sạch","Bán và cho thuê bất động sản, hạ tầng khu công nghiệp",Sản xuất và kinh doanh vật liệu xây dựng,Khác,Tổng cộng,numeric__Sản xuất và kinh doanh thiết bị điện,"numeric__Sản xuất, kinh doanh năng lượng và nước sạch","numeric__Bán và cho thuê bất động sản, hạ tầng khu công nghiệp",numeric__Sản xuất và kinh doanh vật liệu xây dựng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,9.661.934.671.281,10.606.886.996.663,12.097.973.532.500,10.942.662.780.836,45.917.153.485,43.355.375.134.765,9661934671281.0,10606886996663.0,12097973532500.0,10942662780836.0,45917153485.0,43355375134765.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,9.029.459.389.370,,,,,,9029459389370.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,52.384.834.524.135,,,,,,52384834524135.0
Công nợ bộ phận,Công nợ bộ phận,Công nợ bộ phận,10.324.903.355.054,5.325.561.046.955,7.981.647.338.154,4.868.605.959.738,52.565.652.352,28.553.283.352.253,10324903355054.0,5325561046955.0,7981647338154.0,4868605959738.0,52565652352.0,28553283352253.0
Công nợ không phân bổ,Công nợ không phân bổ,Công nợ không phân bổ,,,,,,2.788.173.312.153,,,,,,2788173312153.0
Tổng công nợ,Tổng công nợ,Tổng công nợ,,,,,,31.341.456.664.406,,,,,,31341456664406.0
