row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2018VND,Số phát sinhtrong nămVND,Số đã thực nộptrong nămVND,Cán trừtrong nămVND,Tại ngày31.12.2018VND,numeric__col_1,numeric__Tại ngày1.1.2018VND,numeric__Số phát sinhtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Cán trừtrong nămVND,numeric__Tại ngày31.12.2018VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(649.739.747.874),(902.372.724.669),-,825.426.387.322,(726.686.085.221),,-649739747874.0,-902372724669.0,,825426387322.0,-726686085221.0
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp tạm nộp,(62.481.003.869),12.048.066,(104.215.195.052),90.521.696.368,(76.162.454.487),,-62481003869.0,12048066.0,-104215195052.0,90521696368.0,-76162454487.0
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp (nộp thừa),(60.027.351.705),2.728.097.689,(7.361.149.010),55.655.322.329,(9.005.080.697),,-60027351705.0,2728097689.0,-7361149010.0,55655322329.0,-9005080697.0
(a),(a) > (a),(a),Thuế khác,(60.503.024),(1.093.600.897),-,33.209.879,(1.120.894.042),,-60503024.0,-1093600897.0,,33209879.0,-1120894042.0
(a),(a) > (a),(a),,(772.308.606.472),(900.726.179.811),(111.576.344.062),971.636.615.898,(812.974.514.447),,-772308606472.0,-900726179811.0,-111576344062.0,971636615898.0,-812974514447.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Tiền sử dụng đất,242.500.000.000,329.220.097.235,(571.720.097.235),-,-,,242500000000.0,329220097235.0,-571720097235.0,,
(b),(b) > (b),(b),Thuế thu nhập doanh nghiệp,207.324.266.996,984.856.584.799,(535.508.230.170),(146.177.018.697),510.495.602.928,,207324266996.0,984856584799.0,-535508230170.0,-146177018697.0,510495602928.0
(b),(b) > (b),(b),Thuế GTGT hàng bán nội địa,120.814.880.491,1.150.982.531.240,(425.258.466.824),(825.418.358.419),21.120.586.488,,120814880491.0,1150982531240.0,-425258466824.0,-825418358419.0,21120586488.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,12.962.075.302,88.566.926.043,(87.565.790.708),(31.109.879),13.932.100.758,,12962075302.0,88566926043.0,-87565790708.0,-31109879.0,13932100758.0
(b),(b) > (b),(b),Thuế khác,5.060.798.643,51.930.731.952,(44.286.723.749),(10.128.903),12.694.677.943,,5060798643.0,51930731952.0,-44286723749.0,-10128903.0,12694677943.0
(b),(b) > (b),(b),,588.662.021.432,2.605.556.871.269,(1.664.339.308.686),(971.636.615.898),558.242.968.117,,588662021432.0,2605556871269.0,-1664339308686.0,-971636615898.0,558242968117.0
