row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhăn hiệu, tên thương mại VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhăn hiệu, tên thương mại VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,34.880.498.260,30.000.000,15.634.334.283,50.544.832.543,34880498260.0,30000000.0,15634334283.0,50544832543.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,2.075.387.851,2.075.387.851,,,2075387851.0,2075387851.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),33.701.967.327,-,5.612.611.876,39.314.579.203,33701967327.0,,5612611876.0,39314579203.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,68.582.465.587,30.000.000,23.322.334.010,91.934.799.597,68582465587.0,30000000.0,23322334010.0,91934799597.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,-,(30.000.000),(5.750.992.301),(5.780.992.301),,-30000000.0,-5750992301.0,-5780992301.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,(4.610.894.479),(4.610.894.479),,,-4610894479.0,-4610894479.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,(30.000.000),(10.361.886.780),(10.391.886.780),,-30000000.0,-10361886780.0,-10391886780.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,34.880.498.260,-,9.883.341.982,44.763.840.242,34880498260.0,,9883341982.0,44763840242.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,68.582.465.587,-,12.960.447.230,81.542.912.817,68582465587.0,,12960447230.0,81542912817.0
