row_label_raw,row_label_full,col_0,col_1,31.12.2018VND,31.12.2017VND,numeric__col_1,numeric__31.12.2018VND,numeric__31.12.2017VND
(a),(a),(a),Trái phiếu ngắn hạn,,,,,
,,,Loại phát hành có chiết khấu,,,,,
,,,Công ty TNHH Chứng khoán Kỹ thương,-,450.000.000.000,,,450000000000.0
,,,Loại phát hành bằng mệnh giá,,,,,
,,,Ngân hàng TMCP Kỹ thương Việt Nam (i),1.500.000.000.000,-,,1500000000000.0,
,,,Ngân hàng TNHH Indovina (i),1.050.000.000.000,-,,1050000000000.0,
,,,Công ty TNHH Chứng khoán Kỹ thương (i),750.000.000.000,-,,750000000000.0,
,,,Ngân hàng TMCP Quân đội (ii),500.000.000.000,-,,500000000000.0,
,,,Công ty Cổ phần Chứng khoán MB (iii),400.000.000.000,-,,400000000000.0,
,,,Ngân hàng TMCP Công thương – Chi nhánh TP. Hồ Chí Minh (iv),295.000.000.000,275.000.000.000,,295000000000.0,275000000000.0
,,,Công ty Cổ phần Chứng khoán IB (v),346.840.000.000,-,,346840000000.0,
,,,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng TMCP Công thương Việt Nam (vi),100.000.000.000,-,,100000000000.0,
,,,Công ty TNHH Vàng bạc đá quý Ngân hàng TMCP Công thương Việt Nam (vi),100.000.000.000,-,,100000000000.0,
,,,Công ty TNHH Chứng khoán Kỹ Thương,-,500.000.000.000,,,500000000000.0
,,,Ngân hàng TMCP Bảo Việt,-,300.000.000.000,,,300000000000.0
,,,Ngân hàng TMCP Quân đội – Chi nhánh Bắc Sài Gòn,-,250.000.000.000,,,250000000000.0
,,,Ngân hàng TMCP Tiên Phong,-,125.000.000.000,,,125000000000.0
,,,,5.041.840.000.000,1.900.000.000.000,,5041840000000.0,1900000000000.0
