row_label_raw,row_label_full,col_0,31.12.2018VND,31.12.2017VND,numeric__31.12.2018VND,numeric__31.12.2017VND
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,115.783.534.333,66.869.015.901,115783534333.0,66869015901.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(1.659.990.918.872),(1.477.768.084.442),-1659990918872.0,-1477768084442.0
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,(1.544.207.384.539),(1.410.899.068.541),-1544207384539.0,-1410899068541.0
Ghi nhận vào báo cáo kết quả hoạt động kinh doanh,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh,(422.133.052.602),283.791.739.656,-422133052602.0,283791739656.0
Ảnh hưởng do hợp nhất kinh doanh trong năm (*),Ảnh hưởng do hợp nhất kinh doanh trong năm (*),Ảnh hưởng do hợp nhất kinh doanh trong năm (*),(660.719.779.496),(421.674.326.488),-660719779496.0,-421674326488.0
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,-,4.574.270.834,,4574270834.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,(2.627.060.216.637),(1.544.207.384.539),-2627060216637.0,-1544207384539.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Tài sản thuế thu nhập hoãn lại,Trong đó: > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,70.055.011.414,115.783.534.333,70055011414.0,115783534333.0
Thuế thu nhập hoãn lại phải trả,Trong đó: > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(2.697.115.228.051),(1.659.990.918.872),-2697115228051.0,-1659990918872.0
