row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2018VND,TăngVND,GiảmVND,Vay dài hạnđến hạn trảVND,Tại ngày31.12.2018VND,numeric__col_1,numeric__Tại ngày1.1.2018VND,numeric__TăngVND,numeric__GiảmVND,numeric__Vay dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2018VND
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
(a),(a) > (a),(a),- Vay ngân hàng (*),2.400.572.207.620,712.046.636.734,(2.560.283.977.347),1.236.539.921.028,1.788.874.788.035,,2400572207620.0,712046636734.0,-2560283977347.0,1236539921028.0,1788874788035.0
(a),(a) > (a),(a),- Phát hành trái phiếu (**),1.900.000.000.000,946.840.000.000,(3.025.000.000.000),5.220.000.000.000,5.041.840.000.000,,1900000000000.0,946840000000.0,-3025000000000.0,5220000000000.0,5041840000000.0
(a),(a) > (a),(a),- Vay bên thứ ba (***),3.448.306.773.026,8.356.491.250.000,(8.534.687.332.130),1.563.106.250.000,4.833.216.940.896,,3448306773026.0,8356491250000.0,-8534687332130.0,1563106250000.0,4833216940896.0
(a),(a) > (a),(a),- Vay bên liên quan,-,168.100.000.000,(168.100.000.000),-,-,,,168100000000.0,-168100000000.0,,
(a),(a) > (a),(a),- Chi phí phát hành trái phiếu,-,(21.013.963.636),43.567.329.170,(41.095.364.388),(18.541.998.854),,,-21013963636.0,43567329170.0,-41095364388.0,-18541998854.0
(a),(a) > (a),(a),,7.748.878.980.646,10.162.463.923.098,(14.244.503.980.307),7.978.550.806.640,11.645.389.730.077,,7748878980646.0,10162463923098.0,-14244503980307.0,7978550806640.0,11645389730077.0
(b),(b),(b),Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
(b),(b) > (b),(b),- Vay ngân hàng (*),1.841.758.940.112,3.828.462.866.753,(491.491.859.000),(1.236.539.921.028),3.942.190.026.837,,1841758940112.0,3828462866753.0,-491491859000.0,-1236539921028.0,3942190026837.0
(b),(b) > (b),(b),- Phát hành trái phiếu (**),5.566.000.000.000,8.478.328.000.000,(22.773.000.000),(5.220.000.000.000),8.801.555.000.000,,5566000000000.0,8478328000000.0,-22773000000.0,-5220000000000.0,8801555000000.0
(b),(b) > (b),(b),- Vay bên thứ ba (***),2.841.875.000.000,2.555.918.750.000,-,(1.563.106.250.000),3.834.687.500.000,,2841875000000.0,2555918750000.0,,-1563106250000.0,3834687500000.0
(b),(b) > (b),(b),- Chi phí phát hành trái phiếu,(48.760.194.439),(340.884.284.089),32.802.784.267,41.095.364.388,(315.746.329.873),,-48760194439.0,-340884284089.0,32802784267.0,41095364388.0,-315746329873.0
(b),(b) > (b),(b),,10.200.873.745.673,14.521.825.332.664,(481.462.074.733),(7.978.550.806.640),16.262.686.196.964,,10200873745673.0,14521825332664.0,-481462074733.0,-7978550806640.0,16262686196964.0
