row_label_raw,row_label_full,col_0,col_1,31.12.2018VND,31.12.2017VND,numeric__col_1,numeric__31.12.2018VND,numeric__31.12.2017VND
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,
,,,Ngân hàng TMCP Công thương Việt Nam– Chi nhánh TP HCM (i),444.108.485.028,360.000.000.000,,444108485028.0,360000000000.0
,,,Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (ii),313.807.500.000,34.140.000.000,,313807500000.0,34140000000.0
,,,Ngân hàng Quốc tế Maybank – Chi nhánh Labuan (ii),188.284.500.000,20.484.000.000,,188284500000.0,20484000000.0
,,,Ngân hàng Shanghai & Savings - Offshore Banking (ii),62.761.500.000,6.828.000.000,,62761500000.0,6828000000.0
,,,Công ty Dịch vụ tài chính quốc tế Chailease (ii),41.841.000.000,4.552.000.000,,41841000000.0,4552000000.0
,,,Ngân Hàng Malayan Banking Berhad (Maybank)– Chi nhánh TP HCM (ii),20.016.000.000,2.224.000.000,,20016000000.0,2224000000.0
,,,"Ngân hàng Thương mại Cổ phần (""TMCP"") Ngoại thương Việt Nam – Chi nhánh Nam Sài Gòn (iii)",226.342.014.763,73.542.207.620,,226342014763.0,73542207620.0
,,,Ngân hàng TMCP Việt Nam Thịnh Vượng (iv),190.000.000.000,-,,190000000000.0,
,,,Ngân Hàng TMCP Sài Gòn Thương Tín– Chi nhánh Quận 4 (v),151.731.436.000,-,,151731436000.0,
,,,Ngân hàng TMCP Việt Nam Thịnh Vượng– Chi nhánh TP HCM (vi),94.666.000.000,100.002.000.000,,94666000000.0,100002000000.0
,,,Ngân Hàng TMCP Kiên Long – Chi nhánh Sài Gòn (vii),48.125.000.000,-,,48125000000.0,
,,,Ngân hàng TMCP Quân Đội - Chi nhánh Bắc Sài Gòn (viii),7.191.352.244,-,,7191352244.0,
,,,Ngân hàng TMCP Việt Nam Thịnh Vượng,-,897.000.000.000,,,897000000000.0
,,,Ngân hàng TMCP Việt Nam Thịnh Vượng,-,451.800.000.000,,,451800000000.0
,,,Ngân Hàng TMCP Sài Gòn Thương Tín,-,250.000.000.000,,,250000000000.0
,,,Ngân hàng TMCP Tiên Phong – Chi nhánh Sài Gòn,-,200.000.000.000,,,200000000000.0
,,,,1.788.874.788.035,2.400.572.207.620,,1788874788035.0,2400572207620.0
