row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,250.390.283.446,18.246.571.203,114.021.819.387,28.168.639.962,341.609.091,411.168.923.089,250390283446.0,18246571203.0,114021819387.0,28168639962.0,341609091.0,411168923089.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,774.754.170,5.254.041.818,2.144.120.771,-,8.172.916.759,,774754170.0,5254041818.0,2144120771.0,,8172916759.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 16),415.806.227.569,-,60.984.893.236,-,-,476.791.120.805,415806227569.0,,60984893236.0,,,476791120805.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,986.891.455,-,30.000.000,-,1.016.891.455,,986891455.0,,30000000.0,,1016891455.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.104.243.392),(780.857.070),(8.861.528.427),(46.465.080),-,(21.793.093.969),-12104243392.0,-780857070.0,-8861528427.0,-46465080.0,,-21793093969.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(616.000.000),(3.121.058.101),-,3.737.058.101,-,-,-616000000.0,-3121058101.0,,3737058101.0,,
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,653.476.267.623,16.106.301.657,171.399.226.014,34.033.353.754,341.609.091,875.356.758.139,653476267623.0,16106301657.0,171399226014.0,34033353754.0,341609091.0,875356758139.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,(87.133.387.788),(9.724.288.173),(20.731.612.447),(11.453.533.054),(280.502.507),(129.323.323.969),-87133387788.0,-9724288173.0,-20731612447.0,-11453533054.0,-280502507.0,-129323323969.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(16.617.396.417),(1.762.128.030),(21.612.751.362),(6.439.968.082),(42.654.293),(46.474.898.184),-16617396417.0,-1762128030.0,-21612751362.0,-6439968082.0,-42654293.0,-46474898184.0
Tăng do mua công ty con,Khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,(986.891.455),-,(8.500.000),-,(995.391.455),,-986891455.0,,-8500000.0,,-995391455.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",4.909.584.553,501.987.531,1.586.203.268,39.092.179,-,7.036.867.531,4909584553.0,501987531.0,1586203268.0,39092179.0,,7036867531.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,616.000.000,(616.000.000),-,-,-,-,616000000.0,-616000000.0,,,,
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,(98.225.199.652),(12.587.320.127),(40.758.160.541),(17.862.908.957),(323.156.800),(169.756.746.077),-98225199652.0,-12587320127.0,-40758160541.0,-17862908957.0,-323156800.0,-169756746077.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,163.256.895.658,8.522.283.030,93.290.206.940,16.715.106.908,61.106.584,281.845.599.120,163256895658.0,8522283030.0,93290206940.0,16715106908.0,61106584.0,281845599120.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,555.251.067.971,3.518.981.530,130.641.065.473,16.170.444.797,18.452.291,705.600.012.062,555251067971.0,3518981530.0,130641065473.0,16170444797.0,18452291.0,705600012062.0
