row_label_raw,row_label_full,col_0,Thuê văn phòng,Thuê văn phòng_1,numeric__Thuê văn phòng,numeric__Thuê văn phòng_1
,,,2018VND,2017VND,,
Dưới 1 năm,Dưới 1 năm,Dưới 1 năm,31.642.142.336,51.798.974.424,31642142336.0,51798974424.0
Từ 1 đến 5 năm,Từ 1 đến 5 năm,Từ 1 đến 5 năm,52.541.621.124,25.319.743.416,52541621124.0,25319743416.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,268.351.209.756,-,268351209756.0,
Tổng cộng các khoản thanh toán tối thiểu,Tổng cộng các khoản thanh toán tối thiểu,Tổng cộng các khoản thanh toán tối thiểu,352.534.973.216,77.118.717.840,352534973216.0,77118717840.0
