row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,1.088.015.804.724,1.967.616.453.552,3.055.632.258.276,1088015804724.0,1967616453552.0,3055632258276.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,334.932.685.073,334.932.685.073,,334932685073.0,334932685073.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,1.558.336.000,1.558.336.000,,1558336000.0,1558336000.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(7.537.450.150),(7.537.450.150),,-7537450150.0,-7537450150.0
"Thanh lý, giảm khác","Nguyên giá > Thanh lý, giảm khác","Thanh lý, giảm khác",(7.693.482.739),(177.436.026.961),(185.129.509.700),-7693482739.0,-177436026961.0,-185129509700.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.080.322.321.985,2.119.133.997.514,3.199.456.319.499,1080322321985.0,2119133997514.0,3199456319499.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,-,(111.015.724.077),(111.015.724.077),,-111015724077.0,-111015724077.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(40.828.615.020),(40.828.615.020),,-40828615020.0,-40828615020.0
Chuyển sang hàng tồn kho,Khấu hao lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,398.078.649,398.078.649,,398078649.0,398078649.0
"Thanh lý, giảm khác","Khấu hao lũy kế > Thanh lý, giảm khác","Thanh lý, giảm khác",-,8.775.297.666,8.775.297.666,,8775297666.0,8775297666.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,(142.670.962.782),(142.670.962.782),,-142670962782.0,-142670962782.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,1.088.015.804.724,1.856.600.729.475,2.944.616.534.199,1088015804724.0,1856600729475.0,2944616534199.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.080.322.321.985,1.976.463.034.732,3.056.795.356.717,1080322321985.0,1976463034732.0,3056795356717.0
