row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạnTriệu đồng,Quyền sử dụng đấtkhông thời hạnTriệu đồng,Phần mềmvi tínhTriệu đồng,TSCĐvô hình khácTriệu đồng,TổngcộngTriệu đồng,numeric__Quyền sử dụng đấtcó thời hạnTriệu đồng,numeric__Quyền sử dụng đấtkhông thời hạnTriệu đồng,numeric__Phần mềmvi tínhTriệu đồng,numeric__TSCĐvô hình khácTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,109.626,527.420,293.238,351,930.635,109626.0,527420.0,293238.0,351.0,930635.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,18.989,21.736,-,40.725,,18989.0,21736.0,,40725.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(15.005),-,-,(15.005),,-15005.0,,,-15005.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,109.626,531.404,314.974,351,956.355,109626.0,531404.0,314974.0,351.0,956355.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,10.231,-,223.096,351,233.678,10231.0,,223096.0,351.0,233678.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.097,-,44.527,-,46.624,2097.0,,44527.0,,46624.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,12.328,-,267.623,351,280.302,12328.0,,267623.0,351.0,280302.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,99.395,527.420,70.142,-,696.957,99395.0,527420.0,70142.0,,696957.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,97.298,531.404,47.351,-,676.053,97298.0,531404.0,47351.0,,676053.0
