row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị, dụng cụquản lýTriệu đồng",TSCĐ hữu hìnhkhácTriệu đồng,TổngcộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị, dụng cụquản lýTriệu đồng",numeric__TSCĐ hữu hìnhkhácTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,475.317,280.131,342.984,249.145,14.508,1.362.085,475317.0,280131.0,342984.0,249145.0,14508.0,1362085.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,12.897,36.131,20.512,7.045,300,76.885,12897.0,36131.0,20512.0,7045.0,300.0,76885.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.289),(798),(14.489),(98),-,(20.674),-5289.0,-798.0,-14489.0,-98.0,,-20674.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,482.925,315.464,349.007,256.092,14.808,1.418.296,482925.0,315464.0,349007.0,256092.0,14808.0,1418296.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,127.802,154.095,215.531,230.165,10.952,738.545,127802.0,154095.0,215531.0,230165.0,10952.0,738545.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,18.870,25.394,36.912,14.263,1.141,96.580,18870.0,25394.0,36912.0,14263.0,1141.0,96580.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(489),(792),(14.488),(98),-,(15.867),-489.0,-792.0,-14488.0,-98.0,,-15867.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,146.183,178.697,237.955,244.330,12.093,819.258,146183.0,178697.0,237955.0,244330.0,12093.0,819258.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,347.515,126.036,127.453,18.980,3.556,623.540,347515.0,126036.0,127453.0,18980.0,3556.0,623540.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,336.742,136.767,111.052,11.762,2.715,599.038,336742.0,136767.0,111052.0,11762.0,2715.0,599038.0
