row_label_raw,row_label_full,Giấy phép thành lập và hoạt động > Giấy chứng nhận đăng ký doanh nghiệp > Hội đồng Quản trị,"Số 26/GP-NHNN ngày 12 tháng 2 năm 2020 > Giấy phép thành lập và hoạt động đầu tiên số 00019/NH-GP do Ngân hàng Nhà nước Việt Nam (""NHNN"") cấp ngày 6 tháng 6 năm 1992 và được thay thế bởi Giấy phép số 26/GP-NHNN ngày 12 tháng 2 năm 2020 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày của giấy phép đầu tiên. > Số 0300608092 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 11 tháng 8 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gân nhất lần thứ 32 ngày 2 tháng 11 năm 2022. > Ông Kim Byoungho > Bà Lê Thị Băng Tâm","Số 26/GP-NHNN ngày 12 tháng 2 năm 2020 > Giấy phép thành lập và hoạt động đầu tiên số 00019/NH-GP do Ngân hàng Nhà nước Việt Nam (""NHNN"") cấp ngày 6 tháng 6 năm 1992 và được thay thế bởi Giấy phép số 26/GP-NHNN ngày 12 tháng 2 năm 2020 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày của giấy phép đầu tiên. > Số 0300608092 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 11 tháng 8 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gân nhất lần thứ 32 ngày 2 tháng 11 năm 2022. > Chủ tịch, Thành viên độc lập (từ ngày 29.4.2022) > Chủ tịch (đến trước ngày 29.4.2022)","numeric__Số 26/GP-NHNN ngày 12 tháng 2 năm 2020 > Giấy phép thành lập và hoạt động đầu tiên số 00019/NH-GP do Ngân hàng Nhà nước Việt Nam (""NHNN"") cấp ngày 6 tháng 6 năm 1992 và được thay thế bởi Giấy phép số 26/GP-NHNN ngày 12 tháng 2 năm 2020 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày của giấy phép đầu tiên. > Số 0300608092 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 11 tháng 8 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gân nhất lần thứ 32 ngày 2 tháng 11 năm 2022. > Ông Kim Byoungho > Bà Lê Thị Băng Tâm","numeric__Số 26/GP-NHNN ngày 12 tháng 2 năm 2020 > Giấy phép thành lập và hoạt động đầu tiên số 00019/NH-GP do Ngân hàng Nhà nước Việt Nam (""NHNN"") cấp ngày 6 tháng 6 năm 1992 và được thay thế bởi Giấy phép số 26/GP-NHNN ngày 12 tháng 2 năm 2020 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày của giấy phép đầu tiên. > Số 0300608092 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 11 tháng 8 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gân nhất lần thứ 32 ngày 2 tháng 11 năm 2022. > Chủ tịch, Thành viên độc lập (từ ngày 29.4.2022) > Chủ tịch (đến trước ngày 29.4.2022)"
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Nguyễn Thị Phương Thảo,Phó Chủ tịch thường trực,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lưu Đức Khánh,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Thành Đô,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Hữu Đăng,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Nguyễn Thị Tâm,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Mạnh Dũng,Thành viên độc lập (từ ngày 29.4.2022),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Chu Việt Cường,Thành viên (đến trước ngày 29.4.2022),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lim Peng Khoon,Thành viên (đến trước ngày 29.4.2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Phạm Quốc Thanh,Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Nguyễn Đoàn Duy Ái,Phó Tổng Giám đốc (đến trước ngày 20.6.2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Minh Đức,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lê Thanh Tùng,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Văn Hảo,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Đăng Thanh,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lê Thành Trung,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Trần Hoài Nam,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Trần Thái Hòa,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Cảnh Vinh,Phó Tổng Giám đốc (từ ngày 1.11.2022),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Phạm Văn Đầu,Giám đốc Tài chính,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Hồ Đăng Hoàng Quyên,Kế toán Trường,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Đào Duy Tường,Trường ban,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Đường Thị Thu,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Bùi Thị Kiều Oanh,Thành viên (từ ngày 29.4.2022),,
