row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Quá hạn > Ngày 31 tháng 12 năm 2021,Không chịu lãi suất > Ngày 31 tháng 12 năm 2021,Dưới 1 tháng > Ngày 31 tháng 12 năm 2021,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2021,Trên 5 năm > Ngày 31 tháng 12 năm 2021,Tổng cộng > Ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Ngày 31 tháng 12 năm 2021,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2021,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2021,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2021
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,2.445.575,-,-,-,-,-,-,2.445.575,,2445575.0,,,,,,,2445575.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,11.787.737,-,-,-,-,-,-,11.787.737,,11787737.0,,,,,,,11787737.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,51.284.087,4.872.940,-,2.240.000,-,-,58.397.027,,,51284087.0,4872940.0,,2240000.0,,,58397027.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,11.401.753,-,-,-,-,-,11.401.753,,,11401753.0,,,,,,11401753.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,6.469,-,-,-,-,-,-,6.469,,6469.0,,,,,,,6469.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.865.524,-,52.670.994,95.070.044,18.503.148,16.234.759,1.455.439,34.748,189.834.656,5865524.0,,52670994.0,95070044.0,18503148.0,16234759.0,1455439.0,34748.0,189834656.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,1.013.973,992.336,1.876.008,7.245.759,15.755.654,17.795.374,21.232.924,65.912.028,,1013973.0,992336.0,1876008.0,7245759.0,15755654.0,17795374.0,21232924.0,65912028.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.204.109,-,-,-,-,-,-,1.204.109,,1204109.0,,,,,,,1204109.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,1.320.497,-,-,-,-,-,-,1.320.497,,1320497.0,,,,,,,1320497.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),44.907,8.566.857,1.821.400,4.521.362,6.560.082,2.740.726,492.000,-,24.747.334,44907.0,8566857.0,1821400.0,4521362.0,6560082.0,2740726.0,492000.0,,24747334.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.910.431,26.345.217,118.170.570,106.340.354,32.308.989,36.971.139,19.742.813,21.267.672,367.057.185,5910431.0,26345217.0,118170570.0,106340354.0,32308989.0,36971139.0,19742813.0,21267672.0,367057185.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,189,92.467,-,-,-,-,92.656,,,189.0,92467.0,,,,,92656.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,79.400.745,13.741.575,7.855.390,2.740.726,1.145.000,-,104.883.436,,,79400745.0,13741575.0,7855390.0,2740726.0,1145000.0,,104883436.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,458.100,54.388.740,39.809.528,48.302.371,36.345.183,3.986.445,908,183.291.275,,458100.0,54388740.0,39809528.0,48302371.0,36345183.0,3986445.0,908.0,183291275.0
"Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,876,2.864.582,-,-,-,71.406,2.936.864,,,876.0,2864582.0,,,,71406.0,2936864.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,130.000,490.000,3.729.949,399.800,31.894.749,2.318.615,38.963.113,,,130000.0,490000.0,3729949.0,399800.0,31894749.0,2318615.0,38963113.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.483.473,-,-,-,-,-,-,6.483.473,,6483473.0,,,,,,,6483473.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.941.573,133.920.550,56.998.152,59.887.710,39.485.709,37.026.194,2.390.929,336.650.817,,6941573.0,133920550.0,56998152.0,59887710.0,39485709.0,37026194.0,2390929.0,336650817.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,5.910.431,19.403.644,(15.749.980),49.342.202,(27.578.721),(2.514.570),(17.283.381),18.876.743,30.406.368,5910431.0,19403644.0,-15749980.0,49342202.0,-27578721.0,-2514570.0,-17283381.0,18876743.0,30406368.0
