row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2022Triệu đồng,31.12.2021Triệu đồng,,
Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,,
Tiền gửi và cho vay các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,53.525.710,58.397.027,53525710.0,58397027.0
Chứng khoán kinh doanh (Thuyết minh 6.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Chứng khoán kinh doanh (Thuyết minh 6.5),Chứng khoán kinh doanh (Thuyết minh 6.5),1.797.822,8.351.715,1797822.0,8351715.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,6.469,,6469.0
Cho vay khách hàng,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Cho vay khách hàng,Cho vay khách hàng,247.017.555,189.834.656,247017555.0,189834656.0
Chứng khoán đầu tư (Thuyết minh 9.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Chứng khoán đầu tư (Thuyết minh 9.5),Chứng khoán đầu tư (Thuyết minh 9.5),20.825.966,35.214.366,20825966.0,35214366.0
Các tài sản tài chính khác (Thuyết minh 12.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Các tài sản tài chính khác (Thuyết minh 12.4),Các tài sản tài chính khác (Thuyết minh 12.4),34.495.265,21.657.577,34495265.0,21657577.0
,,,357.662.318,313.461.810,357662318.0,313461810.0
Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,4.782.622,4.462.919,4782622.0,4462919.0
Các cam kết thư tín dụng,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các cam kết thư tín dụng,Các cam kết thư tín dụng,4.322.692,6.605.463,4322692.0,6605463.0
,,,9.105.314,11.068.382,9105314.0,11068382.0
,,,366.767.632,324.530.192,366767632.0,324530192.0
