row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2022,Quá hạn > Ngày 31 tháng 12 năm 2022,Không chịu lãi suất > Ngày 31 tháng 12 năm 2022,Dưới 1 tháng > Ngày 31 tháng 12 năm 2022,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2022,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2022,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2022,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2022,Trên 5 năm > Ngày 31 tháng 12 năm 2022,Tổng cộng > Ngày 31 tháng 12 năm 2022,numeric__Quá hạn > Ngày 31 tháng 12 năm 2022,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2022,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2022,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2022,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2022
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,2.937.733,-,-,-,-,-,-,2.937.733,,2937733.0,,,,,,,2937733.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,11.162.767,-,-,-,-,-,-,11.162.767,,11162767.0,,,,,,,11162767.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,33.069.680,7.876.030,3.880.000,8.700.000,-,-,53.525.710,,,33069680.0,7876030.0,3880000.0,8700000.0,,,53525710.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,1.797.822,-,-,-,-,-,1.797.822,,,1797822.0,,,,,,1797822.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.946.126,-,68.142.618,122.363.172,27.165.619,15.123.883,5.194.899,81.238,247.017.555,8946126.0,,68142618.0,122363172.0,27165619.0,15123883.0,5194899.0,81238.0,247017555.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,1.013.973,897.710,4.565.623,4.301.485,4.515.090,11.383.888,22.141.419,48.819.188,,1013973.0,897710.0,4565623.0,4301485.0,4515090.0,11383888.0,22141419.0,48819188.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.378.609,-,-,-,-,-,-,1.378.609,,1378609.0,,,,,,,1378609.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,1.275.091,-,-,-,-,-,-,1.275.091,,1275091.0,,,,,,,1275091.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),46.456,14.570.464,3.165.456,4.450.302,8.094.016,8.247.380,410.000,-,38.984.074,46456.0,14570464.0,3165456.0,4450302.0,8094016.0,8247380.0,410000.0,,38984074.0
