row_label_raw,row_label_full,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_1","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_2","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_3","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_4","numeric__Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_1","numeric__Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_2","numeric__Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_3","numeric__Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty liên doanh, liên kết_4"
,,,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,,,,
- Công ty CP Gang thép Cao Bằng,- Công ty CP Gang thép Cao Bằng,- Công ty CP Gang thép Cao Bằng,"25,09%","Khai thác, chế biến và kinh doanh các loại khoáng sản",Cao Bằng,"25,09%",0.2509,,,0.2509
- Công ty CP Khoáng Sản Tấn Phát,- Công ty CP Khoáng Sản Tấn Phát,- Công ty CP Khoáng Sản Tấn Phát,"46,00%","Thăm dò khoáng sản, khai thác khoáng sản; Khai thác quặng sắt, Bán buôn kim loại và quặng kim loại...",Cao Bằng,"46,00%",0.46,,,0.46
"Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)","Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)","Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)","Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)","Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)","Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)","Lí do thay đổi đối với từng khoản đầu tư vào công ty liên doanh, liên kết:Góp vốn bổ sung vào Công ty CP Gang thép Cao Bằng- Về số lượng:- Về giá trị:Mua lại cổ phần Công ty Cổ phần Khoáng sản Tấn Phát- Về số lượng:- Về giá trị:Các giao dịch trọng yếu giữa Công ty và Công ty con, Công ty liên doanh, liên kết trong năm: Xem thuyết minh 36)",,,,
Đầu tư vào đơn vị khácTên công ty nhận đầu tư,Đầu tư vào đơn vị khácTên công ty nhận đầu tư,Đầu tư vào đơn vị khácTên công ty nhận đầu tư,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,,,,
- Công ty CP Bê tông Ly tâm Vinaincon,Đầu tư vào đơn vị khácTên công ty nhận đầu tư > - Công ty CP Bê tông Ly tâm Vinaincon,- Công ty CP Bê tông Ly tâm Vinaincon,"10,00%",Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao,Hải Dương,"10,00%",0.1,,,0.1
- Ngân hàng BIDV,Đầu tư vào đơn vị khácTên công ty nhận đầu tư > - Ngân hàng BIDV,- Ngân hàng BIDV,"0,00136%",Ngân hàng,Hà Nội,"0,00136%",1.36e-05,,,1.36e-05
