row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",TSCĐ khác,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__TSCĐ khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,32.304.884.742,38.628.389.422,23.150.049.876,4.150.933.933,396.305.210,98.630.563.183,32304884742.0,38628389422.0,23150049876.0,4150933933.0,396305210.0,98630563183.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,5.559.963.595,10.748.826.363,360.006.545,-,16.668.796.503,,5559963595.0,10748826363.0,360006545.0,,16668796503.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.417.554.819),-,-,(3.417.554.819),,,-3417554819.0,,,-3417554819.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,32.304.884.742,44.188.353.017,30.481.321.420,4.510.940.478,396.305.210,111.881.804.867,32304884742.0,44188353017.0,30481321420.0,4510940478.0,396305210.0,111881804867.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.443.198.922,29.339.524.277,11.410.677.190,2.351.290.913,319.120.428,56.863.811.730,13443198922.0,29339524277.0,11410677190.0,2351290913.0,319120428.0,56863811730.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.673.675.395,2.537.953.184,3.140.901.711,855.182.675,68.068.992,9.275.781.957,2673675395.0,2537953184.0,3140901711.0,855182675.0,68068992.0,9275781957.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.649.399.416),-,-,(2.649.399.416),,,-2649399416.0,,,-2649399416.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.116.874.317,31.877.477.461,11.902.179.485,3.206.473.588,387.189.420,63.490.194.271,16116874317.0,31877477461.0,11902179485.0,3206473588.0,387189420.0,63490194271.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.861.685.820,9.288.865.145,11.739.372.686,1.799.643.020,77.184.782,41.766.751.453,18861685820.0,9288865145.0,11739372686.0,1799643020.0,77184782.0,41766751453.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,16.188.010.425,12.310.875.556,18.579.141.935,1.304.466.890,9.115.790,48.391.610.596,16188010425.0,12310875556.0,18579141935.0,1304466890.0,9115790.0,48391610596.0
