row_label_raw,row_label_full,col_0,col_1,col_2,421a > 421b,LNST chưa phân phối lũy kế đến cuối năm trước > LNST chưa phân phối năm nay,120.407.875.814 > 407.380.751.391,120.407.875.814 > 407.380.751.391_1,numeric__col_1,numeric__col_2,numeric__421a > 421b,numeric__LNST chưa phân phối lũy kế đến cuối năm trước > LNST chưa phân phối năm nay,numeric__120.407.875.814 > 407.380.751.391,numeric__120.407.875.814 > 407.380.751.391_1
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,,,
01,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 01,01,Doanh thu bán hàng và cung cấp dịch vụ,2.678.924.659.814,01,Doanh thu bán hàng và cung cấp dịch vụ,2.678.924.659.814,-,,2678924659814.0,1.0,,2678924659814.0,
24,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 24,24,Chi phí bán hàng,7.197.827.945,25,Chi phí bán hàng,7.197.827.945,-,,7197827945.0,25.0,,7197827945.0,
25,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 25,25,Chi phí quản lý doanh nghiệp,49.507.850.934,26,Chi phí quản lý doanh nghiệp,49.507.850.934,-,,49507850934.0,26.0,,49507850934.0,
31,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 31,31,Thu nhập khác,4.626.774.750,31,Thu nhập khác,4.626.774.750,-,,4626774750.0,31.0,,4626774750.0,
32,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 32,32,Chi phí khác,2.709.701.191,32,Chi phí khác,2.709.701.191,-,,2709701191.0,32.0,,2709701191.0,
BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,BÁO CÁO LƯU CHUYỀN TIỀN TỆ,,,,,,
04,BÁO CÁO LƯU CHUYỀN TIỀN TỆ > 04,04,Lãi lỗ chênh lệch tỷ giá chưa thực hiện,(357.818),04,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ",(357.818),-,,-357818.0,4.0,,-357818.0,
