row_label_raw,row_label_full,Công ty Cổ phần Thủy Điện Trung Thu,Công ty con,-,10.244.097.222,numeric__Công ty con,numeric__-,numeric__10.244.097.222
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,,
Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Phải trả người bán > Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Công ty con,10.604.400.236,8.706.419.423,,10604400236.0,8706419423.0
Công ty TNHH MTV Xây lắp điện I - Miền Nam,Phải trả người bán > Công ty TNHH MTV Xây lắp điện I - Miền Nam,Công ty TNHH MTV Xây lắp điện I - Miền Nam,Công ty con,44.257.687.138,38.922.519.388,,44257687138.0,38922519388.0
Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Phải trả người bán > Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Công ty con,9.724.242.891,6.173.354.110,,9724242891.0,6173354110.0
Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Phải trả người bán > Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Công ty con,10.675.337.515,7.687.076.782,,10675337515.0,7687076782.0
Công ty TNHH MTV Xây lắp điện I - Từ Liêm,Phải trả người bán > Công ty TNHH MTV Xây lắp điện I - Từ Liêm,Công ty TNHH MTV Xây lắp điện I - Từ Liêm,Công ty con,11.092.331.613,21.199.179.743,,11092331613.0,21199179743.0
Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Phải trả người bán > Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Công ty con,24.282.804.550,-,,24282804550.0,
Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Phải trả người bán > Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Công ty con,-,33.210.139,,,33210139.0
Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Phải trả người bán > Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Công ty con,13.590.905.781,9.049.986.739,,13590905781.0,9049986739.0
Công ty TNHH Chế tạo Cột thép Đông Anh,Phải trả người bán > Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con,57.079.978.726,28.213.168.743,,57079978726.0,28213168743.0
Phải trả tiền vay,Phải trả tiền vay,Phải trả tiền vay,Phải trả tiền vay,Phải trả tiền vay,Phải trả tiền vay,,,
Công ty CP Đầu tư Địa ốc Mỹ Đình,Phải trả tiền vay > Công ty CP Đầu tư Địa ốc Mỹ Đình,Công ty CP Đầu tư Địa ốc Mỹ Đình,Công ty con,15.000.000.000,-,,15000000000.0,
