row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Thủy điện,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Thủy điện,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.207.805.024.591,290.097.492.953,8.751.987.811,,141.455.218.292,2.648.109.723.647,2207805024591.0,290097492953.0,8751987811.0,,141455218292.0,2648109723647.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,234.939.197.596,10.778.466.409,3.041.011.231,,2.542.790.618,251.301.465.854,234939197596.0,10778466409.0,3041011231.0,,2542790618.0,251301465854.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,16.668.796.503,-,-,308.410.360.835,-,325.079.157.338,16668796503.0,,,308410360835.0,,325079157338.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,807.854.085.112,66.039.432.701,505.146.882.378,555.700.728.063,191.282.168.312,2.126.023.296.566,807854085112.0,66039432701.0,505146882378.0,555700728063.0,191282168312.0,2126023296566.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,425.920.524.302,,,,,,425920524302.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,807.854.085.112,66.039.432.701,505.146.882.378,555.700.728.063,191.282.168.312,2.551.943.820.868,807854085112.0,66039432701.0,505146882378.0,555700728063.0,191282168312.0,2551943820868.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,700.969.721.453,22.945.934.498,395.528.963.694,213.061.203.850,1.065.544.130,1.333.571.367.625,700969721453.0,22945934498.0,395528963694.0,213061203850.0,1065544130.0,1333571367625.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,60.199.067.694,,,,,,60199067694.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,700.969.721.453,22.945.934.498,395.528.963.694,213.061.203.850,1.065.544.130,1.393.770.435.319,700969721453.0,22945934498.0,395528963694.0,213061203850.0,1065544130.0,1393770435319.0
