row_label_raw,row_label_full,Mã số,Tên khoản mục,Số tiền,Mã số_1,Tên khoản mục_1,Số tiền_1,Thay đổi,numeric__Tên khoản mục,numeric__Số tiền,numeric__Mã số_1,numeric__Tên khoản mục_1,numeric__Số tiền_1,numeric__Thay đổi
BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,,,,,,
131,BẢNG CÂN ĐỐI KẾ TOÁN > 131,131,Phải thu khách hàng,245.753.243.864,131,Phải thu ngắn hạn của khách hàng,245.753.243.864,-,,245753243864.0,131.0,,245753243864.0,
132,BẢNG CÂN ĐỐI KẾ TOÁN > 132,132,Trà trước cho người bán,119.288.727.170,132,Trà trước cho người bán ngắn hạn,119.288.727.170,-,,119288727170.0,132.0,,119288727170.0,
135,BẢNG CÂN ĐỐI KẾ TOÁN > 135,135,Các khoản phải thu khác,8.148.502.369,136,Phải thu ngắn hạn khác,11.575.815.156,3.427.312.787,,8148502369.0,136.0,,11575815156.0,3427312787.0
141,BẢNG CÂN ĐỐI KẾ TOÁN > 141,141,Hàng tồn kho,422.854.565.274,141,Hàng tồn kho,422.854.565.274,-,,422854565274.0,141.0,,422854565274.0,
230,BẢNG CÂN ĐỐI KẾ TOÁN > 230,230,Chỉ phí xây dựng cơ bản dở dang,67.297.365.814,242,Chỉ phí xây dựng cơ bản dở dang,67.297.365.814,-,,67297365814.0,242.0,,67297365814.0,
258,BẢNG CÂN ĐỐI KẾ TOÁN > 258,258,Đầu tư dài hạn khác,4.821.770.000,253,Đầu tư góp vốn vào đơn vị khác,4.821.770.000,-,,4821770000.0,253.0,,4821770000.0,
259,BẢNG CÂN ĐỐI KẾ TOÁN > 259,259,Dự phòng giảm giá đầu tư tài chính dài hạn,(2.553.079.803),254,Dự phòng đầu tư tài chính dài hạn,(2.553.079.803),-,,-2553079803.0,254.0,,-2553079803.0,
312,BẢNG CÂN ĐỐI KẾ TOÁN > 312,312,Phải trả người bán,422.746.242.514,311,Phải trả người bán ngắn hạn,422.746.242.514,-,,422746242514.0,311.0,,422746242514.0,
313,BẢNG CÂN ĐỐI KẾ TOÁN > 313,313,Người mua trả tiền trước,21.566.091.166,312,Người mua trả tiền trước ngắn hạn,21.566.091.166,-,,21566091166.0,312.0,,21566091166.0,
314,BẢNG CÂN ĐỐI KẾ TOÁN > 314,314,Thuế và các khoản phải nộp Nhà nước,87.840.781.297,313,Thuế và các khoản phải nộp Nhà nước,87.840.781.297,-,,87840781297.0,313.0,,87840781297.0,
315,BẢNG CÂN ĐỐI KẾ TOÁN > 315,315,Phải trả người lao động,40.368.742.440,314,Phải trả người lao động,40.368.742.440,-,,40368742440.0,314.0,,40368742440.0,
316,BẢNG CÂN ĐỐI KẾ TOÁN > 316,316,Chỉ phí phải trả,81.160.941.437,315,Chỉ phí phải trả ngắn hạn,81.160.941.437,-,,81160941437.0,315.0,,81160941437.0,
319,BẢNG CÂN ĐỐI KẾ TOÁN > 319,319,"Các khoản phải trả, phải nộp khác",38.110.223.080,319,Phải trả ngắn hạn khác,38.110.223.080,-,,38110223080.0,319.0,,38110223080.0,
,,,,,318,Doanh thu chưa thực hiện ngắn hạn,170.718.123,170.718.123,,,318.0,,170718123.0,170718123.0
320,BẢNG CÂN ĐỐI KẾ TOÁN > 320,320,Dự phòng phải trả ngắn hạn,128.273.695.457,321,Dự phòng phải trả ngắn hạn,37.650.602.408,(90.623.093.049),,128273695457.0,321.0,,37650602408.0,-90623093049.0
323,BẢNG CÂN ĐỐI KẾ TOÁN > 323,323,"Quỹ khen thưởng, phúc lợi",5.807.833.354,322,"Quỹ khen thưởng, phúc lợi",5.807.833.354,-,,5807833354.0,322.0,,5807833354.0,
337,BẢNG CÂN ĐỐI KẾ TOÁN > 337,337,Dự phòng phải trả dài hạn,-,342,Dự phòng phải trả dài hạn,90.623.093.049,90.623.093.049,,,342.0,,90623093049.0,90623093049.0
411,BẢNG CÂN ĐỐI KẾ TOÁN > 411,411,Vốn đầu tư của chủ sở hữu,201.000.000.000,411,Vốn góp của chủ sở hữu,201.000.000.000,-,,201000000000.0,411.0,,201000000000.0,
,,,,,411a,Cổ phiếu phố thông có quyền biểu quyết,201.000.000.000,201.000.000.000,,,,,201000000000.0,201000000000.0
413,BẢNG CÂN ĐỐI KẾ TOÁN > 413,413,Vốn khác của chủ sở hữu,6.624.939.384,414,Vốn khác của chủ sở hữu,6.624.939.384,-,,6624939384.0,414.0,,6624939384.0,
414,BẢNG CÂN ĐỐI KẾ TOÁN > 414,414,Cổ phiếu quỹ,(4.320.000),415,Cổ phiếu quỹ,(4.320.000),-,,-4320000.0,415.0,,-4320000.0,
417,BẢNG CÂN ĐỐI KẾ TOÁN > 417,417,Quỹ đầu tư phát triển,18.403.732.409,418,Quỹ đầu tư phát triển,34.219.481.356,15.815.748.947,,18403732409.0,418.0,,34219481356.0,15815748947.0
420,BẢNG CÂN ĐỐI KẾ TOÁN > 420,420,Lợi nhuận sau thuế chưa phân phối,527.788.627.205,421,Lợi nhuận sau thuế chưa phân phối,527.788.627.205,-,,527788627205.0,421.0,,527788627205.0,
