row_label_raw,row_label_full,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/12/2015 như sau:Tên công ty con,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích
- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện I Miền Nam,- Công ty TNHH MTV Xây lắp điện I Miền Nam,- Công ty TNHH MTV Xây lắp điện I Miền Nam,100%,Xây lắp điện,TP Hồ Chí Minh,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,100%,Dịch vụ,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,100%,Xây lắp điện,Hà Nội,100%,1.0,,,1.0
- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,100%,"Sản xuất các loại cột thép mạkẽm, kết cấu thép, phụ tùng phụkiện có liên quan, dịch vụ về mạ;mua bán thép, kẽm, vật tư phục vụsản xuất, chế tạo kết cấu thép;mua bán vật tư, thiết bị kỹ thuậtđiện.",Hà Nội,100%,1.0,,,1.0
- Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,- Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,- Công ty Cổ phần Hóa phẩm Phụ gia Việt Nam,51%,"Sản xuất các sản phẩm dầu nhuthủy lực, dầu cắt gọt kim loại",Hà Nội,"47,68%",0.51,,,0.4768
- Công ty CP Đầu tư An Phú,- Công ty CP Đầu tư An Phú,- Công ty CP Đầu tư An Phú,100%,"Dịch vụ kho bãi, chung chuyểnhàng hóa, thông quan...",Hưng Yên,100%,1.0,,,1.0
- Công ty CP Thùy điện Trung Thu,- Công ty CP Thùy điện Trung Thu,- Công ty CP Thùy điện Trung Thu,60%,"Đầu tư xây dựng các nhà máythùy điện vừa và nhỏ; Sản xuất vàkinh doanh điện năng,",Điện Biên,60%,0.6,,,0.6
- Công ty CP Đầu tư Địa ốc Mỹ Đình,- Công ty CP Đầu tư Địa ốc Mỹ Đình,- Công ty CP Đầu tư Địa ốc Mỹ Đình,98%,"Đầu tư, kinh doanh bất động sản",Hà Nội,98%,0.98,,,0.98
- Công ty CP Lắp máy Công nghiệp Việt Nam,- Công ty CP Lắp máy Công nghiệp Việt Nam,- Công ty CP Lắp máy Công nghiệp Việt Nam,51%,Lắp đặt máy móc và thiết bị côngnghiệp,Hà Nội,51%,0.51,,,0.51
- Công ty CP Thùy điện Bảo Lâm (*),- Công ty CP Thùy điện Bảo Lâm (*),- Công ty CP Thùy điện Bảo Lâm (*),90%,"Sản xuất, truyền tải và phân phốiđiện; xây lắp các công trìnhđường dây tài điện và trạm biếnáp; lắp đặt hệ thống điện...",Thành lập tại Cao Bằng nhưngchưa hoạt động,90%,0.9,,,0.9
