row_label_raw,row_label_full,col_0,Tỷ lệ(%),Số tiềnVND,numeric__Tỷ lệ(%),numeric__Số tiềnVND
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,"100,00%",407.380.751.391,1.0,407380751391.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,"1,23%",5.025.000.000,0.0123,5025000000.0
Trích Quỹ khác thuộc vốn chủ sở hữu,Trích Quỹ khác thuộc vốn chủ sở hữu,Trích Quỹ khác thuộc vốn chủ sở hữu,"0,62%",2.512.500.000,0.0062,2512500000.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","1,48%",6.030.000.000,0.0148,6030000000.0
Chi trả cổ tức (bằng 20% vốn điều lệ),Chi trả cổ tức (bằng 20% vốn điều lệ),Chi trả cổ tức (bằng 20% vốn điều lệ),"9,87%",40.197.010.000,0.0987,40197010000.0
Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,"86,80%",353.616.241.391,0.868,353616241391.0
