row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcNgày 31 tháng 12 năm,Năm tài chính kết thúcNgày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcNgày 31 tháng 12 năm,numeric__Năm tài chính kết thúcNgày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2020VND,2019VND,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,3.133.763.691.638,434.354.242.894,,3133763691638.0,434354242894.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"") và bất động sản đầu tư",51.574.729.649,47.216.327.238,,51574729649.0,47216327238.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,7.311.715.747,8.933.177.392,,7311715747.0,8933177392.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ/(lãi) chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,10.500.625.503,(784.784.154),,10500625503.0,-784784154.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(5.428.762.935.746),(2.972.657.574.672),,-5428762935746.0,-2972657574672.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay và chi phí phát hành trái phiếu,2.082.598.677.185,1.762.299.601.550,,2082598677185.0,1762299601550.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lỗ từ hoạt động kinh doanh trước những thay đổi vốn lưu động,(143.013.496.024),(720.639.009.752),,-143013496024.0,-720639009752.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,(Tăng)/giảm các khoản phải thu,(1.859.718.661.118),38.891.001.788,,-1859718661118.0,38891001788.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Giảm/(tăng) hàng tồn kho,967.610.330.765,(3.391.585.468),,967610330765.0,-3391585468.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng các khoản phải trả,2.686.820.757.189,6.735.076.553.069,,2686820757189.0,6735076553069.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Giảm chi phí trả trước,80.327.157.317,25.410.748.925,,80327157317.0,25410748925.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(1.574.939.957.794),(1.962.295.970.433),,-1574939957794.0,-1962295970433.0
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Thuế TNDN đã nộp,(48.128.791.588),(276.507.937.651),,-48128791588.0,-276507937651.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,108.957.338.747,3.836.543.800.478,,108957338747.0,3836543800478.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 21,21,"Tiền chi để mua sắm, xây dựng TSCĐ",(50.925.463.451),(81.501.104.054),,-50925463451.0,-81501104054.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ",17.090.909.091,6.689.068.191,,17090909091.0,6689068191.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",(61.599.179.657),(158.578.600.000),,-61599179657.0,-158578600000.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 24,24,Tiền thu hồi cho vay,,10.837.247.322,,,10837247322.0
25,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,(15.688.934.500.000),(9.271.597.044.327),,-15688934500000.0,-9271597044327.0
26,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9.154.074.500.000,1.491.636.838.396,,9154074500000.0,1491636838396.0
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",1.344.467.456.440,2.279.624.685.439,,1344467456440.0,2279624685439.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,(5.285.826.277.577),(5.722.888.909.033),,-5285826277577.0,-5722888909033.0
