row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bàn quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bàn quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,68.702.167.947,99.686.821.675,168.388.989.622,68702167947.0,99686821675.0,168388989622.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.496.416.000,2.496.416.000,,2496416000.0,2496416000.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,(10.947.650.000),-,(10.947.650.000),-10947650000.0,,-10947650000.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,57.754.517.947,102.183.237.675,159.937.755.622,57754517947.0,102183237675.0,159937755622.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,-,(26.760.511.122),(26.760.511.122),,-26760511122.0,-26760511122.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(19.187.831.635),(19.187.831.635),,-19187831635.0,-19187831635.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,-,(45.948.342.757),(45.948.342.757),,-45948342757.0,-45948342757.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,68.702.167.947,72.926.310.553,141.628.478.500,68702167947.0,72926310553.0,141628478500.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,57.754.517.947,56.234.894.918,113.989.412.865,57754517947.0,56234894918.0,113989412865.0
