row_label_raw,row_label_full,col_0,Cổ phần thường VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Cổ phần thường VND,numeric__Cổ phần ưu đãi VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,9.304.466.740.000,68.300.000.000,3.996.839.781.026,2.925.749.747.345,16.295.356.268.371,9304466740000.0,68300000000.0,3996839781026.0,2925749747345.0,16295356268371.0
Phát hành cổ phần thường theo ESOP,Phát hành cổ phần thường theo ESOP,Phát hành cổ phần thường theo ESOP,186.041.230.000,-,-,-,186.041.230.000,186041230000.0,,,,186041230000.0
Phát hành riêng lẻ cổ phần thường,Phát hành riêng lẻ cổ phần thường,Phát hành riêng lẻ cổ phần thường,204.900.000.000,(68.300.000.000),(136.600.000.000),-,-,204900000000.0,-68300000000.0,-136600000000.0,,
"Chi phí liên quan đến việc phát hành cổ phiếu, chuyển đổi vốn","Chi phí liên quan đến việc phát hành cổ phiếu, chuyển đổi vốn","Chi phí liên quan đến việc phát hành cổ phiếu, chuyển đổi vốn",-,-,(50.000.000),-,(50.000.000),,,-50000000.0,,-50000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(21.076.808.219),(21.076.808.219),,,,-21076808219.0,-21076808219.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,434.354.242.894,434.354.242.894,,,,434354242894.0,434354242894.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,9.695.407.970.000,-,3.860.189.781.026,3.339.027.182.020,16.894.624.933.046,9695407970000.0,,3860189781026.0,3339027182020.0,16894624933046.0
Phát hành cổ phần thường theo ESOP (i),Phát hành cổ phần thường theo ESOP (i),Phát hành cổ phần thường theo ESOP (i),145.431.100.000,-,-,-,145.431.100.000,145431100000.0,,,,145431100000.0
Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (ii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (ii),Phát hành cổ phiếu phổ thông để chuyển đổi trái phiếu chuyển đổi (ii),22.013.900.000,-,110.069.500.000,-,132.083.400.000,22013900000.0,,110069500000.0,,132083400000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,3.072.446.006.606,3.072.446.006.606,,,,3072446006606.0,3072446006606.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,9.862.852.970.000,-,3.970.259.281.026,6.411.473.188.626,20.244.585.439.652,9862852970000.0,,3970259281026.0,6411473188626.0,20244585439652.0
