row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,314.272.663.525,1.006.049.946.363,1.320.322.609.888,314272663525.0,1006049946363.0,1320322609888.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,501.864.000,-,501.864.000,501864000.0,,501864000.0
Giảm do chuyển sang hàng tồn khu,Nguyên giá > Giảm do chuyển sang hàng tồn khu,Giảm do chuyển sang hàng tồn khu,(2.400.000.000),(930.957.140.000),(933.357.140.000),-2400000000.0,-930957140000.0,-933357140000.0
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,312.374.527.525,75.092.806.363,387.467.333.888,312374527525.0,75092806363.0,387467333888.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,(29.138.417.483),-,(29.138.417.483),-29138417483.0,,-29138417483.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.146.641.507),-,(6.146.641.507),-6146641507.0,,-6146641507.0
Khác,Khấu hao lũy kế > Khác,Khác,288.000.000,-,288.000.000,288000000.0,,288000000.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,(34.997.058.990),-,(34.997.058.990),-34997058990.0,,-34997058990.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,285.134.246.042,1.006.049.946.363,1.291.184.192.405,285134246042.0,1006049946363.0,1291184192405.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,277.377.468.535,75.092.806.363,352.470.274.898,277377468535.0,75092806363.0,352470274898.0
