row_label_raw,row_label_full,col_0,col_1,Số dư đầu năm VND,Số (phải thu)/ phải nộp trong năm VND,Cán trừ trong năm VND,Số đã thực nộp trong năm VND,Số dư cuối năm VND,numeric__col_1,numeric__Số dư đầu năm VND,numeric__Số (phải thu)/ phải nộp trong năm VND,numeric__Cán trừ trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Số dư cuối năm VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(60.377.552.738),(55.833.557.983),108.239.402.434,-,(7.971.708.287),,-60377552738.0,-55833557983.0,108239402434.0,,-7971708287.0
(a),(a) > (a),(a),Thuế GTGT nộp thừa,(1.044.485.377),-,1.044.485.377,-,-,,-1044485377.0,,1044485377.0,,
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(3.398.844.983),-,-,-,(3.398.844.983),,-3398844983.0,,,,-3398844983.0
(a),(a) > (a),(a),Thuế TNDN theo kết quả hoạt động sản xuất kinh doanh (nộp thừa),(266.404.354),-,-,-,(266.404.354),,-266404354.0,,,,-266404354.0
(a),(a) > (a),(a),,(65.087.287.452),(55.833.557.983),109.283.887.811,-,(11.636.957.624),,-65087287452.0,-55833557983.0,109283887811.0,,-11636957624.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế GTGT,-,184.403.731.415,(109.283.887.811),(75.119.843.604),-,,,184403731415.0,-109283887811.0,-75119843604.0,
(b),(b) > (b),(b),Thuế TNDN,-,61.317.685.032,-,(48.128.791.588),13.188.893.444,,,61317685032.0,,-48128791588.0,13188893444.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,856.894.951,81.256.663.912,-,(69.702.705.726),12.410.853.137,,856894951.0,81256663912.0,,-69702705726.0,12410853137.0
(b),(b) > (b),(b),Thuế khác,11.076.551.491,75.046.464.031,-,(64.816.353.936),21.306.661.586,,11076551491.0,75046464031.0,,-64816353936.0,21306661586.0
(b),(b) > (b),(b),,11.933.446.442,402.024.544.390,(109.283.887.811),(257.767.694.854),46.906.408.167,,11933446442.0,402024544390.0,-109283887811.0,-257767694854.0,46906408167.0
