row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2020 VND,Tại ngày 31 tháng 12 năm > 2019 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2020 VND,numeric__Tại ngày 31 tháng 12 năm > 2019 VND
300,300,300,NỘ PHẢI TRẢ,,36.253.659.174.724,26.435.427.681.373,,,36253659174724.0,26435427681373.0
310,310,310,Nợ ngắn hạn,,8.788.855.911.360,6.053.175.955.559,,,8788855911360.0,6053175955559.0
311,311,311,Phải trả người bán ngắn hạn,15,43.093.595.467,55.875.278.383,,15.0,43093595467.0,55875278383.0
312,312,312,Người mua trả tiền trước ngắn hạn,16,332.809.909.359,349.802.498.306,,16.0,332809909359.0,349802498306.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,17(b),46.906.408.167,11.933.446.442,,,46906408167.0,11933446442.0
314,314,314,Phải trả người lao động,,45.818.599.605,30.109.208.993,,,45818599605.0,30109208993.0
315,315,315,Chi phí phải trả ngắn hạn,18,1.155.553.255.193,746.330.141.817,,18.0,1155553255193.0,746330141817.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,19(a),1.458.008.168,1.439.444.804,,,1458008168.0,1439444804.0
319,319,319,Phải trả ngắn hạn khác,20(a),117.474.913.412,73.910.814.946,,,117474913412.0,73910814946.0
320,320,320,Vay ngắn hạn,21(a),7.040.192.356.694,4.778.226.256.573,,,7040192356694.0,4778226256573.0
322,322,322,"Quỹ khen thưởng, phúc lợi",,5.548.865.295,5.548.865.295,,,5548865295.0,5548865295.0
330,330,330,Nợ dài hạn,,27.464.803.263.364,20.382.251.725.814,,,27464803263364.0,20382251725814.0
336,336,336,Doanh thu chưa thực hiện dài hạn,19(b),61.630.393.692,63.005.509.560,,,61630393692.0,63005509560.0
337,337,337,Phải trả dài hạn khác,20(b),10.365.698.452.569,7.931.632.016.438,,,10365698452569.0,7931632016438.0
338,338,338,Vay dài hạn,21(b),17.022.186.755.311,12.376.414.774.350,,,17022186755311.0,12376414774350.0
342,342,342,Dự phòng phải trả dài hạn,22,15.287.661.792,11.199.425.466,,22.0,15287661792.0,11199425466.0
400,400,400,VỐN CHỦ SỞ HỮU,,20.244.585.439.652,16.894.624.933.046,,,20244585439652.0,16894624933046.0
410,410,410,Vốn chủ sở hữu,,20.244.585.439.652,16.894.624.933.046,,,20244585439652.0,16894624933046.0
411,411,411,Vốn góp của chủ sở hữu,"24, 25",9.862.852.970.000,9.695.407.970.000,,,9862852970000.0,9695407970000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,9.862.852.970.000,9.695.407.970.000,,,9862852970000.0,9695407970000.0
412,412,412,Thặng dư vốn cổ phần,25,3.970.259.281.026,3.860.189.781.026,,25.0,3970259281026.0,3860189781026.0
421,421,421,Lợi nhuận sau thuế (“LNST”) chưa phân phối,25,6.411.473.188.626,3.339.027.182.020,,25.0,6411473188626.0,3339027182020.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,3.339.027.182.020,2.925.749.747.345,,,3339027182020.0,2925749747345.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,3.072.446.006.606,413.277.434.675,,,3072446006606.0,413277434675.0
440,440,440,TỔNG NGUỒN VỐN,,56.498.244.614.376,43.330.052.614.419,,,56498244614376.0,43330052614419.0
