row_label_raw,row_label_full,Ngân hàng TMCP Việt Nam Thịnh Vượng (v),7.000.000.000.000,-,numeric__7.000.000.000.000,numeric__-
The Bank of New York Mellon,The Bank of New York Mellon,The Bank of New York Mellon,,,,
- Chi nhánh London (vi),The Bank of New York Mellon > - Chi nhánh London (vi),- Chi nhánh London (vi),5.413.338.000.000,5.549.580.000.000,5413338000000.0,5549580000000.0
Công ty TNHH Chứng khoán Kỹ Thương (vii),The Bank of New York Mellon > Công ty TNHH Chứng khoán Kỹ Thương (vii),Công ty TNHH Chứng khoán Kỹ Thương (vii),1.290.000.000.000,-,1290000000000.0,
Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,Ngân hàng TMCP Đại Chứng Việt Nam,,,,
- Chi nhánh Sài Gòn (iv),Ngân hàng TMCP Đại Chứng Việt Nam > - Chi nhánh Sài Gòn (iv),- Chi nhánh Sài Gòn (iv),1.100.000.000.000,1.100.000.000.000,1100000000000.0,1100000000000.0
Công ty Cổ phần Chứng khoán Agribank (viii),Ngân hàng TMCP Đại Chứng Việt Nam > Công ty Cổ phần Chứng khoán Agribank (viii),Công ty Cổ phần Chứng khoán Agribank (viii),200.000.000.000,200.000.000.000,200000000000.0,200000000000.0
Công Ty Cổ Phần Chứng Khoán Rồng Việt (ix),Ngân hàng TMCP Đại Chứng Việt Nam > Công Ty Cổ Phần Chứng Khoán Rồng Việt (ix),Công Ty Cổ Phần Chứng Khoán Rồng Việt (ix),200.000.000.000,-,200000000000.0,
Ngân hàng TMCP Tiên Phong (ii),Ngân hàng TMCP Đại Chứng Việt Nam > Ngân hàng TMCP Tiên Phong (ii),Ngân hàng TMCP Tiên Phong (ii),-,700.000.000.000,,700000000000.0
Công ty Cổ phần Chứng khoán MB (i),Ngân hàng TMCP Đại Chứng Việt Nam > Công ty Cổ phần Chứng khoán MB (i),Công ty Cổ phần Chứng khoán MB (i),-,410.000.000.000,,410000000000.0
,,,15.203.338.000.000,7.959.580.000.000,15203338000000.0,7959580000000.0
