row_label_raw,row_label_full,col_0,Số dư đầu năm VND,Nhận tiền vay VND,Chênh lệch tỷ giá VND,Vay dài hạn đến hạn trả VND,Trả nợ vay/phân bổ chi phí phát hành trái phiếu VND,Số dư cuối năm VND,numeric__Số dư đầu năm VND,numeric__Nhận tiền vay VND,numeric__Chênh lệch tỷ giá VND,numeric__Vay dài hạn đến hạn trả VND,numeric__Trả nợ vay/phân bổ chi phí phát hành trái phiếu VND,numeric__Số dư cuối năm VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),443.257.941.218,444.992.585.603,(840.857.140),642.314.855.816,(855.494.960.615),674.229.564.882,443257941218.0,444992585603.0,-840857140.0,642314855816.0,-855494960615.0,674229564882.0
Vay bên thứ ba (**),Vay bên thứ ba (**),Vay bên thứ ba (**),2.397.812.500.000,1.385.520.000.000,17.267.500.000,2.249.575.000.000,(2.407.875.000.000),3.642.300.000.000,2397812500000.0,1385520000000.0,17267500000.0,2249575000000.0,-2407875000000.0,3642300000000.0
Trái phiếu (***),Trái phiếu (***),Trái phiếu (***),1.946.000.000.000,1.437.000.000.000,-,1.110.000.000.000,(1.746.300.000.000),2.746.700.000.000,1946000000000.0,1437000000000.0,,1110000000000.0,-1746300000000.0,2746700000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(8.844.184.645),(29.645.850.000),-,(11.669.233.213),27.122.059.670,(23.037.208.188),-8844184645.0,-29645850000.0,,-11669233213.0,27122059670.0,-23037208188.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,4.778.226.256.573,3.237.866.735.603,16.426.642.860,3.990.220.622.603,(4.982.547.900.945),7.040.192.356.694,4778226256573.0,3237866735603.0,16426642860.0,3990220622603.0,-4982547900945.0,7040192356694.0
(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,(b) Dải hạn,,,,,,
,,,Số dư đầu năm VND,Nhận tiền vay VND,Chênh lệch tỷ giá VND,Vay dài hạn đến hạn trả VND,Trả nợ vay/phân bổ chi phí phát hành trái phiếu VND,Số dư cuối năm VND,,,,,,
Vay ngân hàng (*),(b) Dải hạn > Vay ngân hàng (*),Vay ngân hàng (*),1.378.558.572.092,322.475.000.000,(1.125.571.429),(642.314.855.816),-,1.057.593.144.847,1378558572092.0,322475000000.0,-1125571429.0,-642314855816.0,,1057593144847.0
Vay bên thứ ba (**),(b) Dải hạn > Vay bên thứ ba (**),Vay bên thứ ba (**),3.294.475.000.000,-,(225.000.000),(2.249.575.000.000),-,1.044.675.000.000,3294475000000.0,,-225000000.0,-2249575000000.0,,1044675000000.0
Trái phiếu (***),(b) Dải hạn > Trái phiếu (***),Trái phiếu (***),7.959.580.000.000,8.490.000.000.000,(4.158.600.000),(1.110.000.000.000),(132.083.400.000),15.203.338.000.000,7959580000000.0,8490000000000.0,-4158600000.0,-1110000000000.0,-132083400000.0,15203338000000.0
Chi phí phát hành trái phiếu,(b) Dải hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(256.198.797.742),(130.184.339.633),-,11.669.233.213,91.294.514.626,(283.419.389.536),-256198797742.0,-130184339633.0,,11669233213.0,91294514626.0,-283419389536.0
Chi phí phát hành trái phiếu,(b) Dải hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,12.376.414.774.350,8.682.290.660.367,(5.509.171.429),(3.990.220.622.603),(40.788.885.374),17.022.186.755.311,12376414774350.0,8682290660367.0,-5509171429.0,-3990220622603.0,-40788885374.0,17022186755311.0
