row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,482.835.090.153,19.780.529.623,35.126.038.063,38.816.253.030,99.000.000,576.656.910.869,482835090153.0,19780529623.0,35126038063.0,38816253030.0,99000000.0,576656910869.0
Mua trong kỳ,Nguyên giá > Mua trong kỳ,Mua trong kỳ,-,2.006.845.555,-,8.292.894.885,-,10.299.740.440,,2006845555.0,,8292894885.0,,10299740440.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 14),6.790.828.031,-,15.707.880.908,-,-,22.498.708.939,6790828031.0,,15707880908.0,,,22498708939.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(10.000.000),-,-,-,-,(10.000.000),-10000000.0,,,,,-10000000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(526.787.408),(23.134.209.091),(1.991.370.800),-,(25.652.367.299),,-526787408.0,-23134209091.0,-1991370800.0,,-25652367299.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,489.615.918.184,21.260.587.770,27.699.709.880,45.117.777.115,99.000.000,583.792.992.949,489615918184.0,21260587770.0,27699709880.0,45117777115.0,99000000.0,583792992949.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,(26.305.493.906),(4.931.359.391),(25.520.415.034),(18.892.746.157),(99.000.000),(75.749.014.488),-26305493906.0,-4931359391.0,-25520415034.0,-18892746157.0,-99000000.0,-75749014488.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(10.317.006.485),(2.114.776.108),(5.152.593.238),(8.654.714.010),-,(26.239.089.841),-10317006485.0,-2114776108.0,-5152593238.0,-8654714010.0,,-26239089841.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,526.787.408,7.073.017.200,662.204.115,-,8.262.008.723,,526787408.0,7073017200.0,662204115.0,,8262008723.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,(36.622.500.391),(6.519.348.091),(23.599.991.072),(26.885.256.052),(99.000.000),(93.726.095.606),-36622500391.0,-6519348091.0,-23599991072.0,-26885256052.0,-99000000.0,-93726095606.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,456.529.596.247,14.849.170.232,9.605.623.029,19.923.506.873,-,500.907.896.381,456529596247.0,14849170232.0,9605623029.0,19923506873.0,,500907896381.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,452.993.417.793,14.741.239.679,4.099.718.808,18.232.521.063,-,490.066.897.343,452993417793.0,14741239679.0,4099718808.0,18232521063.0,,490066897343.0
