row_label_raw,row_label_full,Công ty TNHH Bắt động sản Nova Riverside,875.220.000.000,-,numeric__875.220.000.000,numeric__-
Công ty Cổ phần Kinh doanh Bắt động sản Thái Bình,Công ty Cổ phần Kinh doanh Bắt động sản Thái Bình,Công ty Cổ phần Kinh doanh Bắt động sản Thái Bình,847.000.000.000,-,847000000000.0,
Công ty TNHH Bắt động sản Bảo Phúc,Công ty TNHH Bắt động sản Bảo Phúc,Công ty TNHH Bắt động sản Bảo Phúc,-,1.004.000.000.000,,1004000000000.0
,,,1.722.220.000.000,1.004.000.000.000,1722220000000.0,1004000000000.0
