row_label_raw,row_label_full,Ho và tên:,Ho và tên:_1,Chức vụ:,Chức vụ:_1,numeric__Ho và tên:_1,numeric__Chức vụ:,numeric__Chức vụ:_1
-,-,-,Ông Phạm Văn Thường,Trường ban,(i) Đến ngày 28/04/2021,,,
-,-,-,Ông Lê Ngọc Nam,Trường ban,(i) Từ ngày 28/04/2021,,,
-,-,-,Bà Bùi Thu Thái,Thành viên,,,,
-,-,-,Bà Bùi Thị Tố Uyên,Thành viên,(i) Đến ngày 28/04/2021,,,
-,-,-,Bà Đào Thị Hoàng Yến,Thành viên,(i) Từ ngày 28/04/2021,,,
