row_label_raw,row_label_full,col_0,Năm 2021(VND),Năm 2020(VND),numeric__Năm 2021(VND),numeric__Năm 2020(VND)
a. Chi phí quản lý doanh nghiệp,a. Chi phí quản lý doanh nghiệp,a. Chi phí quản lý doanh nghiệp,300.424.274.544,304.733.502.381,300424274544.0,304733502381.0
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,152.449.233.278,135.339.654.991,152449233278.0,135339654991.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,13.779.796.268,21.615.863.485,13779796268.0,21615863485.0
Dịch vụ mua ngoài,Dịch vụ mua ngoài,Dịch vụ mua ngoài,34.937.204.550,35.893.184.549,34937204550.0,35893184549.0
Các khoản khác,Các khoản khác,Các khoản khác,99.258.040.448,111.884.799.356,99258040448.0,111884799356.0
b. Chi phí bán hàng,b. Chi phí bán hàng,b. Chi phí bán hàng,2.579.519.376,2.197.216.586,2579519376.0,2197216586.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,735.088.710,388.869.000,735088710.0,388869000.0
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",672.399.578,850.893.953,672399578.0,850893953.0
Các khoản khác,Các khoản khác,Các khoản khác,1.172.031.088,957.453.633,1172031088.0,957453633.0
Cộng,Cộng,Cộng,303.003.793.920,306.930.718.967,303003793920.0,306930718967.0
