row_label_raw,row_label_full,CHÍ TIÊU,Mã số TM,Năm 2021,Năm 2020,numeric__Mã số TM,numeric__Năm 2021,numeric__Năm 2020
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,964.798.578.336,698.576.961.969,1.0,964798578336.0,698576961969.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,2.054.335.053.036,1.692.966.327.320,2.0,2054335053036.0,1692966327320.0
Các khoản dự phòng,Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,(1.616.733.542.477),113.492.464,3.0,-1616733542477.0,113492464.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(25.251.743.005),3.486.747.530,4.0,-25251743005.0,3486747530.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản: > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(348.256.909.692),(278.191.721.730),5.0,-348256909692.0,-278191721730.0
Chi phí lãi vay,Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,381.297.834.324,511.976.325.877,6.0,381297834324.0,511976325877.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,-,7.0,,
Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,08,1.410.189.270.522,2.628.928.133.430,8.0,1410189270522.0,2628928133430.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,(918.007.856.465),239.800.459.267,9.0,-918007856465.0,239800459267.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản: > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,(57.268.378.059),(92.833.259.731),10.0,-57268378059.0,-92833259731.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,1.579.645.482.905,373.252.633.129,11.0,1579645482905.0,373252633129.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản: > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,271.521.857.321,441.728.548.814,12.0,271521857321.0,441728548814.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(389.153.147.004),(1.043.648.236.680),14.0,-389153147004.0,-1043648236680.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(159.653.080.504),(229.944.618.480),15.0,-159653080504.0,-229944618480.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,19.433.675.620,15.806.638.636,16.0,19433675620.0,15806638636.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(65.511.499.082),(48.645.634.038),17.0,-65511499082.0,-48645634038.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.691.196.325.254,2.284.444.664.347,20.0,1691196325254.0,2284444664347.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác",21,(637.965.453.002),(207.375.968.917),21.0,-637965453002.0,-207375968917.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,1.481.818,537.507.820,22.0,1481818.0,537507820.0
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua công cụ nợ của đơn vị khác","Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,-,(20.700.000.000),23.0,,-20700000000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,347.397.287.382,272.391.002.943,27.0,347397287382.0,272391002943.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(290.566.683.802),44.852.541.846,30.0,-290566683802.0,44852541846.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,7.1,4.885.467.153.247,33.0,71.0,4885467153247.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,7.1,(7.846.306.889.547),34.0,71.0,-7846306889547.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(441.904.160.250),36.0,,-441904160250.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(1.706.759.282.803),40.0,,-1706759282803.0
LU'U CHUYÊN TIÊN THUÂN TRONG KỸ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUÂN TRONG KỸ,LU'U CHUYÊN TIÊN THUÂN TRONG KỸ,50,,147.476.476.389,50.0,,147476476389.0
Tiền và tương đương tiền đầu kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,,305.151.834.284,60.0,,305151834284.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,(30.671),61.0,,-30671.0
Tiền và tương đương tiền cuối kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,,452.628.280.002,70.0,,452628280002.0
