row_label_raw,row_label_full,Nhà đầu tư > Tập đoàn CN Than - Khoáng sản Việt Nam,Theo điều lệ > Số cổ phần > 677.808.500,Theo điều lệ > Tiền (VND) > 6.778.085.000.000,Vốn góp thực tế tại 31/12/2021 > 6.778.085.000.000,Tỷ lệ góp vốn (%) > 100%,numeric__Theo điều lệ > Số cổ phần > 677.808.500,numeric__Theo điều lệ > Tiền (VND) > 6.778.085.000.000,numeric__Vốn góp thực tế tại 31/12/2021 > 6.778.085.000.000,numeric__Tỷ lệ góp vốn (%) > 100%
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,4.958.975,49.589.750.000,49.589.750.000,100%,4958975.0,49589750000.0,49589750000.0,1.0
Cộng,Cộng,Cộng,682.767.475,6.827.674.750.000,6.827.674.750.000,100%,682767475.0,6827674750000.0,6827674750000.0,1.0
