row_label_raw,row_label_full,Π,Tên đơn vị,Giá trị mua trong kỳ > Nơi dung,Giá trị mua trong kỳ > Giá trị,Giá trị bán trong kỳ > Nơi dung,Giá trị bán trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nơi dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bán trong kỳ > Nơi dung,numeric__Giá trị bán trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
16,16,16,Công ty CP Công nghiệp ô tô - Vinacomin,Mua thiết bị,739.049.798,,-,,,739049798.0,,
17,17,17,Tập đoàn công nghiệp Than - Khoáng sản Việt Nam,,,Dịch vụ,1.195.035.748,,,,,1195035748.0
18,18,18,Ban Quản lý dự án chuyên ngành mỏ than - TKV,Dịch vụ tư vấn,903.780.992,,,,,903780992.0,,
19,19,19,Công ty Cổ phần Cơ khí Mỏ Việt Bắc - VVMI,Dịch vụ,2.478.772.118,,,,,2478772118.0,,
20,20,20,Viện Khoa học và Công nghệ Mỏ - Vinacomin,Dịch vụ,77.472.727,,,,,77472727.0,,
21,21,21,Công ty Cổ phần Phát triển Công nghệ và Thiết bị Mỏ,Dịch vụ,158.482.978,,,,,158482978.0,,
22,22,22,Công ty Cổ phần Giám định - Vinacomin,Dịch vụ,3.876.213,,,,,3876213.0,,
23,23,23,Công ty Cổ phần Chế tạo máy - Vinacomin,Dịch vụ,749.673.636,,,,,749673636.0,,
24,24,24,Trung tâm Cấp cứu Mỏ - Vinacomin,Dịch vụ,212.000.000,,,,,212000000.0,,
24,24,24,Công ty Cổ phần Tư vấn đầu tư Mỏ và Công nghiệp - TKV,Dịch vụ,727.272.727,,,,,727272727.0,,
26,26,26,Công ty CP Khách sạn Thái Nguyên - VVMI,Mua dịch vụ,2.272.727,,-,,,2272727.0,,
,,,Cộng,,10.013.732.757.338,,172.391.432.169,,,10013732757338.0,,172391432169.0
