row_label_raw,row_label_full,TT,Tên đơn vị,Cộng no > 131,Cộng no > 331,Cộng no > 335,Cộng no > 338,Cộng no > 341,numeric__Tên đơn vị,numeric__Cộng no > 131,numeric__Cộng no > 331,numeric__Cộng no > 335,numeric__Cộng no > 338,numeric__Cộng no > 341
A,A,A,B,1,2,3,7,4,,1.0,2.0,3.0,7.0,4.0
8,8,8,Công ty TNHH MTV Môi trường - TKV,-,6.965.203.840,-,-,-,,,6965203840.0,,,
9,9,9,Công ty CP Kinh doanh than Cẩm Phả - Vinacomin,-,1.483.201.993,-,-,-,,,1483201993.0,,,
10,10,10,Công ty CP Cơ khí mỏ Việt Bắc - VVMI,-,166.866.910,-,-,-,,,166866910.0,,,
11,11,11,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,-,5.770.759.630,-,-,-,,,5770759630.0,,,
12,12,12,Bệnh viện Than - Khoáng sản Việt Nam,,117.039.112,,,,,,117039112.0,,,
13,13,13,Công ty Cổ phần Giám định - Vinacomin,,42.493.188,,,,,,42493188.0,,,
14,14,14,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,400.000.000,-,9.995.642,34.831.838.379,800.032.473.936,,400000000.0,,9995642.0,34831838379.0,800032473936.0
15,15,15,Trung cấp Cấp cứu Mỏ - Vinacomin,,233.200.000,,,,,,233200000.0,,,
16,16,16,Công ty Cổ phần Chế tạo máy - Vinacomin,,824.641.000,,,,,,824641000.0,,,
II,II,II,CÁC KHOÀN NỘ DÀI HẠN,-,-,-,-,1.605.673.717.575,,,,,,1605673717575.0
1,1,1,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,-,-,-,-,1.605.673.717.575,,,,,,1605673717575.0
,,,CỘNG,400.000.000,138.927.451.928,9.995.642,34.831.838.379,2.405.706.191.511,,400000000.0,138927451928.0,9995642.0,34831838379.0,2405706191511.0
