row_label_raw,row_label_full,Vốn của Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,31/12/2021(VND) > 6.778.085.000.000,01/01/2021(VND) > 6.778.085.000.000,numeric__31/12/2021(VND) > 6.778.085.000.000,numeric__01/01/2021(VND) > 6.778.085.000.000
Vốn của đối tượng khác,Vốn của đối tượng khác,Vốn của đối tượng khác,49.589.750.000,21.915.000.000,49589750000.0,21915000000.0
Cộng,Cộng,Cộng,6.827.674.750.000,6.800.000.000.000,6827674750000.0,6800000000000.0
